jcAIDScan version; 0.1.1
Card ATR; 3BFD9600008131FE45534C4A353247444C313238435257
Card name; Infineon SLE78 Universal JCard
CPLC;;

ICFabricator; 4090
ICType; 7805
OperatingSystemID; 4091
OperatingSystemReleaseDate; 2013
OperatingSystemReleaseLevel; 0110
ICFabricationDate; 5175
ICSerialNumber; 25173123
ICBatchIdentifier; 625A
ICModuleFabricator; 4092
ICModulePackagingDate; 1415
ICCManufacturer; 2391
ICEmbeddingDate; 60AD
ICPrePersonalizer; 0000
ICPrePersonalizationEquipmentDate; 0000
ICPrePersonalizationEquipmentID; 00000000
ICPersonalizer; 0000
ICPersonalizationDate; 0000
ICPersonalizationEquipmentID; 00000000
***** CARD DATA
GlobalPlatform card
Version; 2.2
TAG3; 1.2.840.114283.3
SCP version; SCP_02_15
TAG5; 1.2.840.114283.2.1.1
TAG6; 1.3.6.1.4.1.42.2.110.1.3
***** KEY INFO
VER;1 ID;1 TYPE;DES3 LEN;16
VER;1 ID;2 TYPE;DES3 LEN;16
VER;1 ID;3 TYPE;DES3 LEN;16

PACKAGE AID; MAJOR VERSION; MINOR VERSION; PACKAGE NAME; INTRODUCING JC API VERSION;
a0000000620001; 1; 0; java.lang; 2.1
a0000000620002; 1; 0; java.io; 2.2.0
a0000000620003; 1; 0; java.rmi; 2.2.0
a0000000620101; 1; 0; javacard.framework; 2.1
a0000000620101; 1; 1; javacard.framework; 2.2.0
a0000000620101; 1; 2; javacard.framework; 2.2.1
a0000000620101; 1; 3; javacard.framework; 2.2.2
a0000000620101; 1; 4; javacard.framework; 3.0.1
a0000000620102; 1; 0; javacard.security; 2.1
a0000000620102; 1; 1; javacard.security; 2.1.1
a0000000620102; 1; 2; javacard.security; 2.2.1
a0000000620102; 1; 3; javacard.security; 2.2.2
a0000000620102; 1; 4; javacard.security; 3.0.1
a0000000620201; 1; 0; javacardx.crypto; 2.1
a0000000620201; 1; 1; javacardx.crypto; 2.1.1
a0000000620201; 1; 2; javacardx.crypto; 2.2.1
a0000000620201; 1; 3; javacardx.crypto; 2.2.2
a0000000620201; 1; 4; javacardx.crypto; 3.0.1
a0000000620202; 1; 0; javacardx.biometry; 2.2.2
a0000000620202; 1; 1; javacardx.biometry; 2.2.2
a0000000620202; 1; 2; javacardx.biometry; 2.2.2
a0000000620203; 1; 0; javacardx.external; 2.2.2
a0000000620209; 1; 0; javacardx.apdu; 2.2.2

FULL PACKAGE AID; IS SUPPORTED?; PACKAGE NAME WITH VERSION; 
000107A0000000620001; 	yes; 	java.lang v1.0 a0000000620001;
010107A0000000620001; 	no; 	java.lang v1.1 a0000000620001;
000107A0000000620002; 	yes; 	java.io v1.0 a0000000620002;
010107A0000000620002; 	no; 	java.io v1.1 a0000000620002;
000107A0000000620003; 	yes; 	java.rmi v1.0 a0000000620003;
010107A0000000620003; 	no; 	java.rmi v1.1 a0000000620003;
000107A0000000620101; 	yes; 	javacard.framework v1.0 a0000000620101;
010107A0000000620101; 	yes; 	javacard.framework v1.1 a0000000620101;
020107A0000000620101; 	yes; 	javacard.framework v1.2 a0000000620101;
030107A0000000620101; 	yes; 	javacard.framework v1.3 a0000000620101;
040107A0000000620101; 	yes; 	javacard.framework v1.4 a0000000620101;
050107A0000000620101; 	no; 	javacard.framework v1.5 a0000000620101;
060107A0000000620101; 	no; 	javacard.framework v1.6 a0000000620101;
070107A0000000620101; 	no; 	javacard.framework v1.7 a0000000620101;
000108A000000062010101; 	no; 	javacard.framework.service v1.0 a000000062010101;
010108A000000062010101; 	no; 	javacard.framework.service v1.1 a000000062010101;
000107A0000000620102; 	yes; 	javacard.security v1.0 a0000000620102;
010107A0000000620102; 	yes; 	javacard.security v1.1 a0000000620102;
020107A0000000620102; 	yes; 	javacard.security v1.2 a0000000620102;
030107A0000000620102; 	yes; 	javacard.security v1.3 a0000000620102;
040107A0000000620102; 	yes; 	javacard.security v1.4 a0000000620102;
050107A0000000620102; 	no; 	javacard.security v1.5 a0000000620102;
060107A0000000620102; 	no; 	javacard.security v1.6 a0000000620102;
070107A0000000620102; 	no; 	javacard.security v1.7 a0000000620102;
000107A0000000620201; 	yes; 	javacardx.crypto v1.0 a0000000620201;
010107A0000000620201; 	yes; 	javacardx.crypto v1.1 a0000000620201;
020107A0000000620201; 	yes; 	javacardx.crypto v1.2 a0000000620201;
030107A0000000620201; 	yes; 	javacardx.crypto v1.3 a0000000620201;
040107A0000000620201; 	yes; 	javacardx.crypto v1.4 a0000000620201;
050107A0000000620201; 	no; 	javacardx.crypto v1.5 a0000000620201;
060107A0000000620201; 	no; 	javacardx.crypto v1.6 a0000000620201;
070107A0000000620201; 	no; 	javacardx.crypto v1.7 a0000000620201;
000107A0000000620202; 	yes; 	javacardx.biometry v1.0 a0000000620202;
010107A0000000620202; 	yes; 	javacardx.biometry v1.1 a0000000620202;
020107A0000000620202; 	yes; 	javacardx.biometry v1.2 a0000000620202;
030107A0000000620202; 	no; 	javacardx.biometry v1.3 a0000000620202;
040107A0000000620202; 	no; 	javacardx.biometry v1.4 a0000000620202;
