id;x;y;private;t
0;CC6DF9456C97217CD1F03303039CE7D2302A51DED2684F2B9F61A083BBC823AD;F6815C3D767BB8DD805C37900F43310A18E7113823818749653C4A4AA2781283;DACAD683E88E100E6231447C55AFFAC55E2BDB7C139981DD77012B3DDD7E1681;56
1;7BD1F9B2DAC11B7DD3BBF44745A81715A10B85B708CCECA2FE52018DE25C1F51;A5A98025A29F2203631D0EB1E92E7B9C20AC98ECC79873139008F24E9CF39BC1;1A7A71C70AACC80C4F6D5A5B412F398FCA8E6AF815481A437E7EFE2A3A237359;73
2;DA68824D8880C4D0C92DC5B285F818AC433E245C45802D366C84DBF27CE5CB18;65DCEB0F0ACA2917F1165A23D3516565C143C0AD2B38B792F5B23F46E6CD0BE4;47257D7F46C034A35BEDE7E99BFA54AD6C0CECA0D699AB769A71F90F16921608;57
3;4E8F2F370BA8FDE80D0E1AC6EF619CC686AEC5C536B58C5E5D92BBB7F3C1B43F;89D481B89692AC65FDE4006E1C5477AAC3D7FE4121BB072B6E57145E42165250;100A657BE575A4F65BF37D4CC5687BFE227BB6621EF488A59F2126ECD121DA9E;65
4;D55A63DD6003B9361F623D1F931C9BFB071A4C1CC77924A1ECBBF1DD535EDC27;7A0AB56C4DC274EACC096725858E81256E459FD0D60925DAA53A0D839DE9AF57;73E4381E73D4780936BD1C6A312194AB31C6BF2380FBDB471ABEB9EE75B810DC;55
5;BC602CF03E4F020816B430915CAB74405BAC342BE4D65F3702C4B987844AD298;24B172A06EC7F52998E01F0804667083135F71787AE80490BB5DFEAFB65BE649;B585BAC51E79014084026C72F7C768EF81A4AB22E78A5413062C3AB7F4D7FBA7;66
6;D4DB0789354DEF0FC72D42932BCBCA1EB2519E5F5E22DF03BEB1DD787D7F65EE;A5342D5A487AC43FBCFFCE27E26995B84B840A5CD63417534A1ED864C5E9699B;2F24408AFC9E9DCC6B1FCEB679579A8476243014FC1CC30C80DAF5BF43738642;55
7;0F7C006D1B9C93E94925B0B59EF5D628339972D9E5EC3B949165BEEA7266867F;9627C6087A703D739CF7C88A35A764A63D006786C24F867A74CD845D9781CA56;6D850586CD2EDDA1AF94D328B4974FBE660373535B0333D0A4C63482308DB103;69
8;57F330C65FC17AC7BAC8D8B8C73C58F3B7CCDCF855A894014FE4194EC11EA82A;BA93AE8E94A8CED29B61457C2D0B843718A2BDE8D9F585902229DE8CB79E9AD4;41F48C4D5AF0E7EF741AA05878A8E7184069B03FE920BE49B9926EB3DD51ACDF;57
9;692D7567368A844D3BBC28C3771D6CD3010E22EF38320064A518567E4986BD7F;F69FD29BC6753FD9EDA28A4131C414231F0F8E5AF9DAE40599B45A648C300010;0BCA0B0277EEC4321730A36B51F58DAC6C1B29FCCCA0A01DE17D185B3A458651;61
10;E711E74938D794BAF0E259137FBE94264E98764EEB29091B0081AB1B1B88DF85;B780FF312B7FBD462D12979CF59F77DDBE10229990F984FE700CBD4B107415BC;881BFA596078048281A0F57F61EDCBB49B76815F2C4F429A395F7A0F4862F92C;57
11;67BF418793FA4FD189212A5A21369F6934A6EDA74D8D785E145372091FCD54F7;6E8F1DD2D1C6B794C612C0BDC80B8B6C8C8F7C784FC0A45343EB2FE7E5572A8D;FE1748E0477D3340DA4608723B88E49B32A9D42CE54552C61CC650AC0C51F615;65
12;1A16D83AFCF5258AFA5B84B54C310A3C69EA8AF2F9583261612EE13A23493618;1256AA5EDAA3B5B2D8B3B38AFFBD6D3975F99AD123421E35EEA411ECAD68C667;0EA48F2C547C479D2FF5273A7A24FB4F3808978F4AB4372BED7C7F50351C9E62;56
