id;n;e;p;q;d;t
0;A8959FF9F79751302B64F609CD7A0F0BDA20A8C27F24F2C7C14030638652C2A7FCE828C50E5AD6A9E34F9BBA32206F7052FECB69C3EB62B9EF36DBC44B513C7036202A973E660FDBEA6C1AAB2D2827D5042ED839F633AA31E92E3C94C70B1F042F42CDF49C0C00FD830DFF274344E661519C0661666E18CB1FDBA192C84071DFFA89358859CD74142AFBE2E78166C2BFD07B4F603AA9365390C7212A37BBC6136E19A50E9CD042DA806168EAA72E51A4BE685034F14AE2D68D220A53A180270563C86B061FF95DAEB59FF42C3872C81734B76C864893C0BD0C51D5328B971D20F6421759BB1EE650380CC10B42C442A72236433577B2975682250DD6284C49A1;010001;DAE4FADD128369DC9DAE428C1741714DB2475CB5346BAC42DC513C76338464CE29C3A5F18F1E7FBF1DEA24CB6F959388EC41CC00F76F62ABC1D594F6ED574AB3446BD957FDAF262CFDA04025F1B69F9E0BAD83B083F45614F3363A26315019262CC80765564E4E82C48A57ABB33CAE256D1B1B56FFA0BF91DF9D30635A791543; ; ;94
1;D5D7ED8DEBFD077973EEC26B5148100C6E679A6DB808E601A6CDECA2A0020B26F244EFF14AC596BC56BFE753EEC75937AAF11AEA1609B8D33BD9B1D22B50FC36C8F9EC94BCD6936F759CA5D34DBF7EAC491CC27389A29699735125703E4E93B5E6609414FB00A6D60BA906CD88D44802F62C12B6D17FE23F69602CE840A8A4670558E30225851EE6006E6AD6C30995F43615B9C0DD54BE9862DDBC1AB806F4283B31FF0E07882C912B80B4FD6D1138D91554387949480DE73FA89E3A730FF4A5BB58BE7E45B9404BFAC6541145868A32408EE978C415DB5178DEA7760CD5FF2D5895BC32C7AA1C41ADF5CC309E75D39C4638645BDA13501B4ABEEE18D79345AF;010001;FFFB8E004D7D592E6C392E6A3FB44D688CA49E80B4757FD282F79B05FD58BC9DE063F446D7D153508A7B600FA0E336E554C123440BADB41A61A313A4DA333B20418DF0F3E45279A8401ED3672E7905267E4E92497A2DB11C846C23DF2B7921A51B86ED69B997AFE3C5FE450B54336E5C89E0BB751182BC6E919C455EC67831DB; ; ;21
2;DA943548AC891CA5E908293509F6E78486CC3BD4E02D02DCE72F9E7526F851ADDA8D0A2BE6DA271616A132AB36B9E116287790C7506B1B002A5C5845465BE58A35697B4586A8D6A6827B7EBB4861A591EC78FDD63BC8A6DF924DD0B27DFCF43464D58FAF908F43FAE2E07A351103147DB9E8016721A20733A9556321DB06104534DA9B1073EAAB459158E361EEA8B71752B4C1DDAAEBD1A0BDE3EFA230131D12012AAD03F7E6872174A5C36A241634FC675730FC736C4890DDE364B9D7C47A36CF32E19BD6FAF8B365A67CA3BB050B1C2CDB98002834DCE495C41D0C3F1E08E8F8C85430BDDAA74AE48B5962603C16A293D81CE162E9C7DF95C8C0F67884F9B3;010001;F8459E5A64EBB6F9A84F4CC44478151DA7E5DDCCA0B774FF399BBEBD4914EB010B232E0D51041179180AEA5FE3C9A68A71A5F53FF509C00C2CEBA0A93C8B90774465DFD412FB5779032F59C5C14049612D610A3F66EBDD8D70C47F15315131032407D37D05886024BC2A6C4F98FA58ABBA552C0D6275178F4F96E6B70CED6FF1; ; ;21
3;D20DF714E8A23427931ADF05536228DC669DB407CD33B0A3D15033542AEEF4C00D1140CC0E4101952CEFA6C7FCCD60D6FEC0D6951DAABC3839EAC24959747CB847F3C4FE61E7B4F8FEDE7FF327A139411F8091505595C1D16B6E9D5CFC856F1C36FB990553D930C2E6915E60EDCB88BBDD75C9AA2145532DBF60961AC43E4B752727E21D376C75E5B6E1104377EDCB1B186E10F285096FB0F13F25690E9BD98B8626519953FE4CC8A624858DF6DA6472152D3B20974D71E8D35F719F773738A48FF421C4A531E8FE0CE0F39C5A94EB898BF08E4A851F392067FF95469D074B91DCDFC61DDD86BF18F4355D5665C3D71A404E77994D22DAB74355371C84CEDCE5;010001;FE5F2E5C11D8D522A55835E85428ACC508EA5032E1121DCEC9E41755909BCF44427251B1B78D9FE960C047D4BAE9B42ADA9C500A2A00FB2E612C3443C81594B2DB7E0E039C29B42CD2D668243A2C67E56ABEDCF9A742A1415F94D5FCA54B8BF01C96BCF35B8888F7306DD7B0E9D04EE9DCE39B3B0D196F2A7C17D330DC604B07; ; ;21
4;B9EAAF373D98A6DAAD1BCE03FBB0A60FE4EE1EEB5491747978E419F8659176BD8E97BF13953FEC01CAD7D1F5DF40D57FC9202F0D86F82B5414B463E133E2903219BCD2B038ED3238198EF29883ABCC97BC73DF2FD86685BC3EFCF9AE9BE8ACB9405514EA124571027B0FAB11D1124FEA359E7815C61F878481D2961FB940F207D83F14EFB16571F4A3B60585C50F70247B2FCDDE8DFB5CB49FC80818AE6EE685B845B7E88573C265B9FD7ECEB2A46CD9148A1C4331E5C0FB9B95B83791A6D4FCB9428D9F0501D55FB0BFF37D389ABC602F365FC763F9FF06A35CBB73B57D04EC09D0F8ABDDA25B9488DD92424D02FFC75AF7EE6B5043192E8BDBA372E99428E9;010001;E5FF9E44958BBAF3E3C7D9B94E7CC4956AC59B1F895F840766C2B0E423CD91DAD149839430BAD322A337E19F9B70C871016C065B3A12D06BF516BEA4D1DF6488BC45E44DDAD9B0A2A09388C1BCC007BF7DEA50D89886FA5AF926668B7030C460C1DC9397B741F9AC37A2B67717FF007A8DA89A8841E2640EC3FD1C7F56ADF899; ; ;21
5;C9F6EEA3676B42C28CBC6E0800F769B439B52D296B2A54FC292579373E9601FFD87C084E239432852A57B76CB7B170D4A52928012AFAFBC37EC9E4D9131C3FA207CFB6A1E38E505E118144DD289A86EAF068EB5C2E5DAB14442AC10F4D99EBD1D42B47AD8867CACF032D4F509F339E966DD46D21CDD726F1B20EA704B9C518FBED90E24A6C8861D53947FBE55F95C221BE1957ADB0CF29237A50A0DFE2F69C72934BA529EB2A31A1AEAB8DCD092BB614A1275DE03D7B196157AF17295EBF8F16F5F0EB382F17D355139F5A119F001ECE13CF354B9EDA38AC522CC38EBAC2A1F457CC23204AFC619BC0820384C240B9EACD2231013000CDD047B951C648771EE5;010001;EAF450AC69736913A0054191BAE68E564BEA44B1F1A057B15EA542FF1BAC1A6340C2429031128C751246EDBE80115A38740C1ADC1950F53AFCFD02803AFEA60AC29F95D5B366906E4154227BADA454E80961B7935BF3A403317B800CAFC1B3F3159AB2EB0498E14F0016FCA7B8D80FEA0D2F83A424300DF483CE3B1B37F89A49; ; ;5584
6;D261AD79091076E0690AE61FAE2C2027992B7F2E58FB76D9855EB945069FD8E64D8D662C18A2B5F69CA11C3717C455E3C600F7EEC9E8EAB0A6A20AC65D3B14360DCF51131601F2C5380EC0DEF47436B8C67FA191E3EDEC850D82B7ACA8E724EAA22ED3DC4AC1E0661EE8B71B3A7CF90EAF28146B8D248DB0BCF730E466B58D40B90283F05BE2BE7DB3565D67F410F091B9A25BC5716FC4666F21E2259E4E0CE4673DF5AA41A5FB4E9EB451949E236461FE187520D4ECD93F3151CB7277EF59368942F57E7897FA4ED3E7AA6F63D00C88CF3A5A9CADCD11197B92BA3784E3B7401E6E2DE5532EE27C23DA42D8639F3782B2EE8B708B0F34D4BDDAA54B0686D6E1;010001;EB5C1CBCB4712BFD6003992B4C34E8F61EB6CCB34FCB8BCEF7E2DE6F658C5E25230FFB0DFBF90B59B158E4105DFEFFAAF72D878DA5B6474E2624A4EFC64180F81A36D4D9D6B22E3363271E9FCB141671AFB37A5A277F50445B3F46F75F57CBA2A7C013AC4E92584B4C4DE102755C6F22A15F8048183CDEBB5BC8084F3A020209; ; ;9011
7;ADD3D8DFD754E072593CF14C28F06AEE2F779FE3BC84D099F2AEA2CF380D85E192ACFBDD6F422ECB96D15BF3753876760E970A70E5041AE5701C94EB2E478677EC06BCA03A87E72A6D26EDB27A50570828FE393C844269A362DA302EA4507EA290C08BB7B5E4912128E579DCA9FA5CEB144BF2ADC6E44E883F3725792D8923DA9E3CF2FF832EBAF6743C2A33A9CC35AB35B388A64618C7D1276E49BB1BCE759363DB9B729345636F3A127861A61EEF1A8CE5A2FA16BBF4AE7C185E8C8601AF1249B43ED4D6594ACBDCC19F4FD55C39760308AA5999942D9BB66F250F280A7389CA28EA504A27C57D6D7E8705DFB989F1746B8734D556C08E5D8CF2436E42A8B5;010001;D9699F967A29A85E872B2C156B7E444B2A9716DC5CC6BC97A9D3BFF20FF232639E9F6314BFB89622FDCC2B0C8B6253DB97DF8ED91980A57540C33A66C19A68BF4A9E3E7B8EFEED7A5F6F376825F561A45ECE77BAC1B31C26D08266BFE457D23944E1292BF4D56941488AD972A0E8A7E3518A05C3795275828CF1CCF90B221A4D; ; ;3180
8;F6D27FEEDE0898CFE355DF7CA815C8D19E052C00775A693CBE2CA18092DDA78C7D5DDDB3EA7B750898630A2879D8C1918E154705C1831A7FDA127CACED8EBDF1665952A845956D6361756D749CFF9FC431B70E6F60DE3CD4240F852F5E8860509DE60A09AC6BB8B89E3FDE21407B8ACE2619D9397F87A936F4515156BDC46DFA3C9AB9E1170BD666A64BCBAF16225E20798FCB77CB32F1A77CA4AD4D9AABA60C2B0A8997102BA0375A4B6E25F30B4CF197A3A80C13EB41D5E208E4F33409255CECFFE0D086419BAA2A73978419DF0F50680493A780C26B0A1D80E99BD24296D62C6E2F95C3B2A32E7D52AEFEE5ADB479D77F010C05D7E8AAC7474A4E4904DF07;010001;FE1D861E261F72B9D5430FE3250B6BC8656B029122C5C2F1337EC5EC97862A4DAB9A9BEE37793D3E7D9B30A76904C8FA2296F21354D8D2FA923BD521CFEE0EADC9BC9E1DEC41C6760FD9720FC890D4318C75019E3CCC82E1DB4A5348E7B9D68B12B7BAC75E51338EBB676F296113667612370F182B05D796AE89253C2A112777; ; ;1219
9;C57B2B668A25F3CE171514969BAB35F3F0EFC9717B75974CE6314A6E5B73CA99A4BE8886F7283B71E0B6C8A37393776DE02D9ED81371B617216A7F37CE87FF40AC626D14FC85D91DE364BB62DD397C2E1FFD5C0FABD7DF8EE4F690EB23216340946B715F454D1FB3446E8B14ECEACBF511B2393AC84CA7B3AEBA268057D2A5D57A0FB215E463846A6594ED30980028597B7B5C1EB8DA1377654662EFE301A1D8ACB07BF6235FFEB7696F0C83B4B1CB226C380FDD0C24082C79C3CE1CC0CAFA16A5BCAE27ABDFE0F04F1034A98D08B054C646162D0DA245538D9A573A614DC951EA525D28CDB85B030074BA005240F75D3546ED262050C26F0595FC2D89EE44CD;010001;E0DB88D8605F3F20534BA1536E0460343D45D555CA2BAA65B1FCA95CC2F7701046C5666DB5D36F1781EFDE9F83D18EF7925D65FEA90B0B05F76DD6421A6F46EA710FD6D916203881204FE583CD6AF184B88E5A3573EF5B31FE730D63323F1F78E7DC043D2759BBCCE59AB7B9B06D5EF2AA7F6EFE5B28E8A22D3DB89AF86945E5; ; ;6035
