INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Thoth Tay.;
Execution date/time; 2021/04/12 18:11:57
AlgTestJClient version; 1.7.9
AlgTest applet version; 1.7.9
Used reader; ExcelSecu Contact_Rd 0
Card ATR; 3b b8 97 00 c0 08 31 fe 45 ff ff 13 58 30 50 23 00 65
Card name; Infineon SECORA ID X
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JavaCard support version;3.0.5;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;6605B;
JCSystem.getMaxCommitCapacity();4096B;
APDU.getInBlockSize();254B;
APDU.getOutBlockSize();254B;
APDU.getProtocol();1B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 40 90 34 11 40 90 00 57 01 00 00 14 a0 01 82 4c 08 15 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4090;Infineon
CPLC.ICType;3411
CPLC.OperatingSystemID;4090
CPLC.OperatingSystemReleaseDate;0057
CPLC.OperatingSystemReleaseLevel;0100
CPLC.ICFabricationDate;0014;(Y DDD) date in that year
CPLC.ICSerialNumber;a001824c
CPLC.ICBatchIdentifier;0815
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;1.608000
ALG_DES_CBC_ISO9797_M1;yes;0.868000
ALG_DES_CBC_ISO9797_M2;yes;1.627000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0.864000
ALG_DES_ECB_ISO9797_M1;yes;1.633000
ALG_DES_ECB_ISO9797_M2;yes;1.625000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
