Oberthur Cosmo Dual 72K,,
Card ATR: 3B:7B:18:00:00:00:31:C0:64:77:E3:03:00:82:90:00,,
AlgTestJClient version; 1.1
AlgTest applet version; 1.1
Package_AID_test; Oberthur_CosmoDual72K_AIDSUPPORT_3B7B1800000031C06477E30300829000.csv

JavaCard support version;2.2.1;
javacardx.apdu.ExtendedLength; 
Extended APDU;no

CPLC; 9f 7f 2a 20 50 50 00 40 41 40 91 00 5f 71 58 00 00 03 18 00 00 19 12 71 58 19 13 71 58 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;2050;unknown
CPLC.ICType;5000
CPLC.OperatingSystemID;4041
CPLC.OperatingSystemReleaseDate;4091
CPLC.OperatingSystemReleaseLevel;005f
CPLC.ICFabricationDate;7158;(Y DDD) date in that year
CPLC.ICSerialNumber;00000318
CPLC.ICBatchIdentifier;0000
CPLC.ICModuleFabricator;1912
CPLC.ICModulePackagingDate;7158
CPLC.ICCManufacturer;1913
CPLC.ICEmbeddingDate;7158
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher,supported,time
ALG_DES_CBC_NOPAD,yes,
ALG_DES_CBC_ISO9797_M1,yes,
ALG_DES_CBC_ISO9797_M2,yes,
ALG_DES_CBC_PKCS5,no,
ALG_DES_ECB_NOPAD,yes,
ALG_DES_ECB_ISO9797_M1,yes,
ALG_DES_ECB_ISO9797_M2,yes,
ALG_DES_ECB_PKCS5,no,
ALG_RSA_ISO14888,no,
ALG_RSA_PKCS1,yes,
ALG_RSA_ISO9796,no,
ALG_RSA_NOPAD,yes,
ALG_AES_BLOCK_128_CBC_NOPAD,no,
ALG_AES_BLOCK_128_ECB_NOPAD,no,
