INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2019/04/19 20:06:27
AlgTestJClient version; 1.7.7
AlgTest applet version; 1.7.7
Used reader; PC/SC terminal Gemplus USB Smart Card Reader 0
Card ATR; 3b fe 18 00 00 80 31 fe 45 53 43 45 36 30 2d 43 44 30 38 31 2d 6e 46 a9
Card name; G+D SmartCafe 6.0
Used protocol; T=1
Package_AID_test; GD_SmartCafe_6.0_AIDSUPPORT_3BFE1800008031FE4553434536302D43443038312D6E46A9.csv

JavaCard support version;3.0.1
JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2808B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;755B;
JCSystem.getMaxCommitCapacity();755B;

CPLC; 9f 7f 2a 47 90 50 37 16 71 11 46 40 03 50 24 97 00 69 a3 72 71 47 92 01 44 16 73 02 83 16 74 50 92 00 00 0a 01 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;5037
CPLC.OperatingSystemID;1671
CPLC.OperatingSystemReleaseDate;1146
CPLC.OperatingSystemReleaseLevel;4003
CPLC.ICFabricationDate;5024;(Y DDD) date in that year
CPLC.ICSerialNumber;970069a3
CPLC.ICBatchIdentifier;7271
CPLC.ICModuleFabricator;4792
CPLC.ICModulePackagingDate;0144
CPLC.ICCManufacturer;1673
CPLC.ICEmbeddingDate;0283
CPLC.ICPrePersonalizer;1674
CPLC.ICPrePersonalizationEquipmentDate;5092
CPLC.ICPrePersonalizationEquipmentID;00000a01
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0,050000
ALG_DES_CBC_ISO9797_M1;yes;0,050000
ALG_DES_CBC_ISO9797_M2;yes;0,050000
ALG_DES_CBC_PKCS5;yes;0,064000
ALG_DES_ECB_NOPAD;yes;0,050000
ALG_DES_ECB_ISO9797_M1;yes;0,060000
ALG_DES_ECB_ISO9797_M2;yes;0,050000
ALG_DES_ECB_PKCS5;yes;0,050000
ALG_RSA_ISO14888;yes;0,050000
ALG_RSA_PKCS1;yes;0,062000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0,050000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0,060000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0,050000
ALG_RSA_PKCS1_OAEP;yes;0,050000
ALG_KOREAN_SEED_ECB_NOPAD;yes;0,050000
ALG_KOREAN_SEED_CBC_NOPAD;yes;0,050000
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0,051000
ALG_AES_CBC_ISO9797_M2;yes;0,053000
ALG_AES_CBC_PKCS5;yes;0,050000
ALG_AES_ECB_ISO9797_M1;yes;0,060000
ALG_AES_ECB_ISO9797_M2;yes;0,060000
ALG_AES_ECB_PKCS5;yes;0,050000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0,070000
ALG_DES_MAC8_NOPAD;yes;0,070000
ALG_DES_MAC4_ISO9797_M1;yes;0,060000
ALG_DES_MAC8_ISO9797_M1;yes;0,071000
ALG_DES_MAC4_ISO9797_M2;yes;0,060000
ALG_DES_MAC8_ISO9797_M2;yes;0,070000
ALG_DES_MAC4_PKCS5;yes;0,070000
ALG_DES_MAC8_PKCS5;yes;0,080000
ALG_RSA_SHA_ISO9796;yes;0,090000
ALG_RSA_SHA_PKCS1;yes;0,090000
ALG_RSA_MD5_PKCS1;yes;0,078000
ALG_RSA_RIPEMD160_ISO9796;yes;0,100000
ALG_RSA_RIPEMD160_PKCS1;yes;0,080000
ALG_DSA_SHA;yes;0,070000
ALG_RSA_SHA_RFC2409;yes;0,080000
ALG_RSA_MD5_RFC2409;yes;0,090000
ALG_ECDSA_SHA;yes;0,124000
ALG_AES_MAC_128_NOPAD;yes;0,070000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0,073000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0,100000
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;yes;0,062000
ALG_ECDSA_SHA_256;yes;0,070000
ALG_ECDSA_SHA_384;yes;0,070000
ALG_AES_MAC_192_NOPAD;no;
