INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; PetrS
Execution date/time; 2018/12/05 08:30:33
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; PC/SC terminal Generic EMV Smartcard Reader 0
Card ATR; 3b 69 00 02 41 43 4f 53 4a 76 31 30 31
Card name; ACS ACOSJ 40K
Card provider; https://www.smartcardfocus.com/shop/ilp/id~790/acosj-dual-interface-java-card/p/index.shtml
Used protocol; T=0
High-power mode supported; no
Package_AID_test; ACS_ACOSJ_40K_AIDSUPPORT_3B69000241434F534A76313031.csv

JavaCard support version;3.0.4;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;19961B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1154B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;3624B;
JCSystem.getMaxCommitCapacity();3624B;
CPLC; failed to obtain CPLC
javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.260000
ALG_DES_CBC_ISO9797_M1;yes;0.250000
ALG_DES_CBC_ISO9797_M2;yes;0.260000
ALG_DES_CBC_PKCS5;yes;0.260000
ALG_DES_ECB_NOPAD;yes;0.209000
ALG_DES_ECB_ISO9797_M1;yes;0.210000
ALG_DES_ECB_ISO9797_M2;yes;0.210000
ALG_DES_ECB_PKCS5;yes;0.200000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.200000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.200000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.269000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.210000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;yes;0.210000
ALG_KOREAN_SEED_CBC_NOPAD;yes;0.260000
