INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2016/09/20 14:47:56
AlgTestJClient version; 1.7.0
AlgTest applet version; 1.7.0
Used reader; PC/SC terminal Gemplus USB Smart Card Reader 0
Card ATR; 3b f8 18 00 00 81 31 fe 45 4a 43 4f 50 76 32 34 31 bc
Card name; NXP J2A080 80K
Used protocol; T=1
Package_AID_test; NXP_J2A080_80K_AIDSUPPORT_3BF81800008131FE454A434F5076323431BC.csv

JavaCard support version;2.2.2
JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2336B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;512B;
JCSystem.getMaxCommitCapacity();512B;

CPLC; 9f 7f 2a 47 90 50 38 47 91 81 02 31 00 10 70 01 07 32 95 52 58 48 12 10 77 00 00 00 00 19 08 1d 31 30 37 33 32 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;5038
CPLC.OperatingSystemID;4791
CPLC.OperatingSystemReleaseDate;8102
CPLC.OperatingSystemReleaseLevel;3100
CPLC.ICFabricationDate;1070;(Y DDD) date in that year
CPLC.ICSerialNumber;01073295
CPLC.ICBatchIdentifier;5258
CPLC.ICModuleFabricator;4812
CPLC.ICModulePackagingDate;1077
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;1908
CPLC.ICPrePersonalizationEquipmentDate;1d31
CPLC.ICPrePersonalizationEquipmentID;30373332
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0,080000
ALG_DES_CBC_ISO9797_M1;yes;0,080000
ALG_DES_CBC_ISO9797_M2;yes;0,070000
ALG_DES_CBC_PKCS5;yes;0,076000
ALG_DES_ECB_NOPAD;yes;0,075000
ALG_DES_ECB_ISO9797_M1;yes;0,070000
ALG_DES_ECB_ISO9797_M2;yes;0,070000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0,100000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0,100000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0,080000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0,080000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;yes;0,090000
ALG_KOREAN_SEED_CBC_NOPAD;yes;0,080000
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0,080000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0,080000
ALG_DES_MAC4_ISO9797_M2;no;
ALG_DES_MAC8_ISO9797_M2;yes;0,080000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0,100000
ALG_RSA_SHA_PKCS1;yes;0,090000
ALG_RSA_MD5_PKCS1;yes;0,090000
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0,083000
ALG_AES_MAC_128_NOPAD;yes;0,090000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0,087000
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;yes;0,090000
ALG_ECDSA_SHA_256;no;
ALG_ECDSA_SHA_384;no;
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;no;
ALG_ECDSA_SHA_512;no;
ALG_RSA_SHA_224_PKCS1;no;
ALG_RSA_SHA_256_PKCS1;no;
ALG_RSA_SHA_384_PKCS1;no;
ALG_RSA_SHA_512_PKCS1;no;
ALG_RSA_SHA_224_PKCS1_PSS;no;
ALG_RSA_SHA_256_PKCS1_PSS;no;
ALG_RSA_SHA_384_PKCS1_PSS;no;
ALG_RSA_SHA_512_PKCS1_PSS;no;
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;

javacard.security.MessageDigest
ALG_SHA;yes;0,070000
ALG_MD5;yes;0,080000
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0,080000
ALG_SHA_384;no;
ALG_SHA_512;no;
ALG_SHA_224;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0,010000
ALG_SECURE_RANDOM;yes;0,010000

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0,100000
TYPE_DES_TRANSIENT_DESELECT;yes;0,100000
TYPE_DES LENGTH_DES;yes;0,110000
TYPE_DES LENGTH_DES3_2KEY;yes;0,104000
TYPE_DES LENGTH_DES3_3KEY;yes;0,113000
TYPE_AES_TRANSIENT_RESET;yes;0,100000
TYPE_AES_TRANSIENT_DESELECT;yes;0,100000
TYPE_AES LENGTH_AES_128;yes;0,110000
TYPE_AES LENGTH_AES_192;yes;0,110000
TYPE_AES LENGTH_AES_256;yes;0,110000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0,100000
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0,100000
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0,100000
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0,105000
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0,100000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0,100000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0,100000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0,100000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0,110000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0,098000
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0,100000
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0,100000
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0,100000
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0,100000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0,100000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0,100000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0,102000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0,104000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0,100000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0,100000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0,100000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;0,100000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;0,103000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;0,104000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;0,103000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;0,100000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;
