Axalto Cyberflex Palmera V5,,
Card ATR: 3B:E6:00:00:81:21:45:32:4B:01:01:01:01:7A,,
"Note: Card is probably without garbage collector - it is not possible to test all supported algorithms at once. When ceratin number of instances is allocated, further instances cannot be obtained, even when supported by card. Re-installation of whole applet is necessary. ",,
AlgTestJClient version; 1.0
AlgTest applet version; 0.1

JavaCard support version;2.1.2;
javacardx.apdu.ExtendedLength; 
Extended APDU;no

javacardx.crypto.Cipher,supported,time
ALG_DES_CBC_NOPAD,yes,
ALG_DES_CBC_ISO9797_M1,yes,
ALG_DES_CBC_ISO9797_M2,yes,
ALG_DES_CBC_PKCS5,no,
ALG_DES_ECB_NOPAD,yes,
ALG_DES_ECB_ISO9797_M1,yes,
ALG_DES_ECB_ISO9797_M2,yes,
ALG_DES_ECB_PKCS5,no,
ALG_RSA_ISO14888,no,
ALG_RSA_PKCS1,yes,
ALG_RSA_ISO9796,no,
ALG_RSA_NOPAD,yes,
ALG_AES_BLOCK_128_CBC_NOPAD,yes,
ALG_AES_BLOCK_128_ECB_NOPAD,yes,
ALG_RSA_PKCS1_OAEP,no,
ALG_KOREAN_SEED_ECB_NOPAD,no,
ALG_KOREAN_SEED_CBC_NOPAD,no,
javacard.crypto.Signature,,
ALG_DES_MAC4_NOPAD,yes,
ALG_DES_MAC8_NOPAD,yes,
ALG_DES_MAC4_ISO9797_M1,yes,
ALG_DES_MAC8_ISO9797_M1,yes,
ALG_DES_MAC4_ISO9797_M2,yes,
ALG_DES_MAC8_ISO9797_M2,yes,
ALG_DES_MAC4_PKCS5,no,
ALG_DES_MAC8_PKCS5,no,
ALG_RSA_SHA_ISO9796,yes,
ALG_RSA_SHA_PKCS1,yes,
ALG_RSA_MD5_PKCS1,yes,
ALG_RSA_RIPEMD160_ISO9796,no,
ALG_RSA_RIPEMD160_PKCS1,no,
ALG_DSA_SHA,no,
ALG_RSA_SHA_RFC2409,no,
ALG_RSA_MD5_RFC2409,no,
ALG_ECDSA_SHA,no,
ALG_AES_MAC_128_NOPAD,yes,
ALG_DES_MAC4_ISO9797_1_M2_ALG3,no,
ALG_DES_MAC8_ISO9797_1_M2_ALG3,no,
ALG_RSA_SHA_PKCS1_PSS,no,
ALG_RSA_MD5_PKCS1_PSS,no,
ALG_RSA_RIPEMD160_PKCS1_PSS,no,
ALG_HMAC_SHA1,no,
ALG_HMAC_SHA_256,no,
ALG_HMAC_SHA_384,no,
ALG_HMAC_SHA_512,no,
ALG_HMAC_MD5,no,
ALG_HMAC_RIPEMD160,no,
ALG_RSA_SHA_ISO9796_MR,no,
ALG_RSA_RIPEMD160_ISO9796_MR,no,
ALG_SEED_MAC_NOPAD,no,
javacard.security.MessageDigest,,
ALG_SHA,yes,
ALG_MD5,yes,
ALG_RIPEMD160,no,
ALG_SHA_256,no,
ALG_SHA_384,no,
ALG_SHA_512,no,
javacard.security.RandomData,,
ALG_PSEUDO_RANDOM,yes,
ALG_SECURE_RANDOM,yes,
javacard.security.KeyBuilder,,
TYPE_DES_TRANSIENT_RESET,yes,
TYPE_DES_TRANSIENT_DESELECT,yes,
TYPE_DES LENGTH_DES,yes,
TYPE_DES LENGTH_DES3_2KEY,yes,
TYPE_DES LENGTH_DES3_3KEY,yes,
TYPE_AES_TRANSIENT_RESET,yes,
TYPE_AES_TRANSIENT_DESELECT,yes,
TYPE_AES LENGTH_AES_128,yes,
TYPE_AES LENGTH_AES_192,no,
TYPE_AES LENGTH_AES_256,no,
TYPE_RSA_PUBLIC LENGTH_RSA_512,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_736,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_768,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_896,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_1024,yes,
TYPE_RSA_PUBLIC LENGTH_RSA_1280,no,
TYPE_RSA_PUBLIC LENGTH_RSA_1536,no,
TYPE_RSA_PUBLIC LENGTH_RSA_1984,no,
TYPE_RSA_PUBLIC LENGTH_RSA_2048,no,
TYPE_RSA_PUBLIC LENGTH_RSA_3072,no,
TYPE_RSA_PUBLIC LENGTH_RSA_4096,no,
TYPE_RSA_PRIVATE LENGTH_RSA_512,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_736,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_768,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_896,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_1024,yes,
TYPE_RSA_PRIVATE LENGTH_RSA_1280,no,
TYPE_RSA_PRIVATE LENGTH_RSA_1536,no,
TYPE_RSA_PRIVATE LENGTH_RSA_1984,no,
TYPE_RSA_PRIVATE LENGTH_RSA_2048,no,
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536,yes,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984,no,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048,no,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;
TYPE_DSA_PRIVATE LENGTH_DSA_512,no,
TYPE_DSA_PRIVATE LENGTH_DSA_768,no,
TYPE_DSA_PRIVATE LENGTH_DSA_1024,no,
TYPE_DSA_PUBLIC LENGTH_DSA_512,no,
TYPE_DSA_PUBLIC LENGTH_DSA_768,no,
TYPE_DSA_PUBLIC LENGTH_DSA_1024,no,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113,no,
