INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Rowland Watkins.;
Execution date/time; 2018/12/03 17:14:32
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.0
Used reader; PC/SC terminal ACS ACR39U ICC Reader 0
Card ATR; 3b 11 95 80
Card name; NXP JCOP3 J3H145
Card provider; https://www.javacardos.com/store/products/10029
Used protocol; T=0

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2886B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;32767B;

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.101000
ALG_DES_CBC_ISO9797_M1;yes;0.103000
ALG_DES_CBC_ISO9797_M2;yes;0.103000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0.099000
ALG_DES_ECB_ISO9797_M1;yes;0.100000
ALG_DES_ECB_ISO9797_M2;yes;0.100000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.055000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.058000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.104000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.100000
ALG_RSA_PKCS1_OAEP;yes;0.058000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.105000
ALG_AES_CBC_ISO9797_M2;yes;0.102000
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;yes;0.098000
ALG_AES_ECB_ISO9797_M2;yes;0.100000
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0.100000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0.103000
ALG_DES_MAC4_ISO9797_M2;yes;0.104000
ALG_DES_MAC8_ISO9797_M2;yes;0.104000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0.059000
ALG_RSA_SHA_PKCS1;yes;0.056000
ALG_RSA_MD5_PKCS1;no;
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.056000
ALG_AES_MAC_128_NOPAD;yes;0.104000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0.104000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.104000
ALG_RSA_SHA_PKCS1_PSS;yes;0.059000
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0.056000
ALG_ECDSA_SHA_384;yes;0.056000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.056000
ALG_ECDSA_SHA_512;yes;0.056000
ALG_RSA_SHA_224_PKCS1;yes;0.056000
ALG_RSA_SHA_256_PKCS1;yes;0.058000
ALG_RSA_SHA_384_PKCS1;yes;0.056000
ALG_RSA_SHA_512_PKCS1;yes;0.055000
ALG_RSA_SHA_224_PKCS1_PSS;yes;0.057000
ALG_RSA_SHA_256_PKCS1_PSS;yes;0.056000
ALG_RSA_SHA_384_PKCS1_PSS;yes;0.062000
