INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;petrs
Execution date/time; 2015/12/18 12:39:21
AlgTestJClient version; 1.6.0
AlgTest applet version; 1.5.1
Used reader; PC/SC terminal Alcor Micro USB Smart Card Reader 0
Card ATR; 3b fc 18 00 00 81 31 80 45 90 67 46 4a 00 68 08 06 00 00 00 00 0c
Card name; JavaCOS A40
Used protocol; T=1

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1081B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;384B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;384B;

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.063000
ALG_DES_CBC_ISO9797_M1;yes;0.078000
ALG_DES_CBC_ISO9797_M2;yes;0.078000
ALG_DES_CBC_PKCS5;yes;0.063000
ALG_DES_ECB_NOPAD;yes;0.078000
ALG_DES_ECB_ISO9797_M1;yes;0.078000
ALG_DES_ECB_ISO9797_M2;yes;0.062000
ALG_DES_ECB_PKCS5;yes;0.079000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.078000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.078000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.063000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.078000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;yes;0.078000
ALG_KOREAN_SEED_CBC_NOPAD;yes;0.078000
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.062000
ALG_AES_CBC_ISO9797_M2;yes;0.078000
ALG_AES_CBC_PKCS5;yes;0.063000
ALG_AES_ECB_ISO9797_M1;yes;0.078000
ALG_AES_ECB_ISO9797_M2;yes;0.062000
ALG_AES_ECB_PKCS5;yes;0.079000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.062000
ALG_DES_MAC8_NOPAD;yes;0.078000
ALG_DES_MAC4_ISO9797_M1;yes;0.063000
ALG_DES_MAC8_ISO9797_M1;yes;0.078000
ALG_DES_MAC4_ISO9797_M2;yes;0.078000
ALG_DES_MAC8_ISO9797_M2;yes;0.062000
ALG_DES_MAC4_PKCS5;yes;0.079000
ALG_DES_MAC8_PKCS5;yes;0.062000
ALG_RSA_SHA_ISO9796;error(0x6f00);
ALG_RSA_SHA_PKCS1;error(0x6f00);
ALG_RSA_MD5_PKCS1;error(0x6f00);
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;no;
ALG_AES_MAC_128_NOPAD;yes;0.063000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;error(0x6f00);
ALG_DES_MAC8_ISO9797_1_M2_ALG3;error(0x6f00);
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;error(0x6f00);
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;error(0x6f00);
ALG_ECDSA_SHA_256;no;
ALG_ECDSA_SHA_384;no;
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;no;
ALG_ECDSA_SHA_512;no;
ALG_RSA_SHA_224_PKCS1;no;
ALG_RSA_SHA_256_PKCS1;no;
ALG_RSA_SHA_384_PKCS1;no;
ALG_RSA_SHA_512_PKCS1;no;
ALG_RSA_SHA_224_PKCS1_PSS;no;
ALG_RSA_SHA_256_PKCS1_PSS;no;
ALG_RSA_SHA_384_PKCS1_PSS;no;
ALG_RSA_SHA_512_PKCS1_PSS;no;
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;

javacard.security.MessageDigest
ALG_SHA;error(0x6f00);
ALG_MD5;error(0x6f00);
ALG_RIPEMD160;no;
ALG_SHA_256;error(0x6f00);
ALG_SHA_384;error(0x6f00);
ALG_SHA_512;error(0x6f00);
ALG_SHA_224;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;error(0x6f00);
ALG_SECURE_RANDOM;yes;0.047000

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;error(0x6f00);
TYPE_DES_TRANSIENT_DESELECT;error(0x6f00);
TYPE_DES LENGTH_DES;yes;0.078000
TYPE_DES LENGTH_DES3_2KEY;yes;0.094000
TYPE_DES LENGTH_DES3_3KEY;yes;0.078000
