INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; PetrS
Execution date/time; 2019/04/19 19:59:23
AlgTestJClient version; 1.7.7
AlgTest applet version; 1.7.7
Used reader; PC/SC terminal Generic EMV Smartcard Reader 0
Card ATR; 3b d5 18 ff 81 91 fe 1f c3 80 73 c8 21 13 09
Card name; Athena IDProtect
Used protocol; T=1
Package_AID_test; Athena_IDProtect_AIDSUPPORT_3BD518FF8191FE1FC38073C8211309.csv 

JavaCard support version;2.2.2;
JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;4157B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;32767B;
JCSystem.getMaxCommitCapacity();32767B;

CPLC; 9f 7f 2a 41 80 01 0b 82 11 03 52 00 05 38 31 00 06 35 2b 48 4a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4180;Atmel
CPLC.ICType;010b
CPLC.OperatingSystemID;8211
CPLC.OperatingSystemReleaseDate;0352
CPLC.OperatingSystemReleaseLevel;0005
CPLC.ICFabricationDate;3831;(Y DDD) date in that year
CPLC.ICSerialNumber;0006352b
CPLC.ICBatchIdentifier;484a
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000


javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.099000
ALG_DES_CBC_ISO9797_M1;yes;0.106000
ALG_DES_CBC_ISO9797_M2;yes;0.110000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0.104000
ALG_DES_ECB_ISO9797_M1;yes;0.111000
ALG_DES_ECB_ISO9797_M2;yes;0.105000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.095000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.097000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.097000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.098000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;yes;0.097000
ALG_KOREAN_SEED_CBC_NOPAD;yes;0.098000
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0.099000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0.099000
ALG_DES_MAC4_ISO9797_M2;no;
ALG_DES_MAC8_ISO9797_M2;yes;0.099000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0.101000
ALG_RSA_SHA_PKCS1;yes;0.100000
ALG_RSA_MD5_PKCS1;no;
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.100000
ALG_AES_MAC_128_NOPAD;yes;0.100000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.100000
ALG_RSA_SHA_PKCS1_PSS;yes;0.101000
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;yes;0.100000
ALG_ECDSA_SHA_256;yes;0.099000
ALG_ECDSA_SHA_384;no;
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.100000
ALG_ECDSA_SHA_512;no;
ALG_RSA_SHA_224_PKCS1;no;
ALG_RSA_SHA_256_PKCS1;yes;0.099000
ALG_RSA_SHA_384_PKCS1;no;
ALG_RSA_SHA_512_PKCS1;no;
ALG_RSA_SHA_224_PKCS1_PSS;no;
ALG_RSA_SHA_256_PKCS1_PSS;yes;0.100000
ALG_RSA_SHA_384_PKCS1_PSS;no;
ALG_RSA_SHA_512_PKCS1_PSS;no;
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;
ALG_AES_CMAC_128;no;

javacard.security.MessageDigest
ALG_SHA;yes;0.100000
ALG_MD5;no;
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0.098000
ALG_SHA_384;yes;0.097000
ALG_SHA_512;yes;0.099000
ALG_SHA_224;yes;0.098000
ALG_SHA3_224;no;
ALG_SHA3_256;no;
ALG_SHA3_384;no;
ALG_SHA3_512;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0.030000
ALG_SECURE_RANDOM;yes;0.031000
ALG_TRNG;no;
ALG_ALG_PRESEEDED_DRBG;no;
ALG_FAST;no;
ALG_KEYGENERATION;no;

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0.056000
TYPE_DES_TRANSIENT_DESELECT;yes;0.091000
TYPE_DES LENGTH_DES;yes;0.046000
TYPE_DES LENGTH_DES3_2KEY;yes;0.046000
TYPE_DES LENGTH_DES3_3KEY;yes;0.048000
TYPE_AES_TRANSIENT_RESET;yes;0.057000
TYPE_AES_TRANSIENT_DESELECT;yes;0.084000
TYPE_AES LENGTH_AES_128;yes;0.046000
TYPE_AES LENGTH_AES_192;yes;0.049000
TYPE_AES LENGTH_AES_256;yes;0.046000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0.047000
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0.049000
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0.048000
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0.048000
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0.047000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0.052000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0.050000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0.057000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0.051000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0.047000
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0.053000
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0.055000
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0.054000
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0.052000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0.054000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0.056000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0.057000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0.057000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
