INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2019/09/18 12:42:44
AlgTestJClient version; 1.7.9
AlgTest applet version; 1.7.9
Used reader; Alcor Micro USB Smart Card Reader 0
Card ATR; 3b fa 18 00 ff 10 00 4a 54 61 78 43 6f 72 65 56 31
Card name; NXP JCOP4 J3R180 P71
Card provider; please insert link/description of shop where card was bought
Used protocol; T=0
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no
Package_AID_test; NXP_JCOP4_J3R180_P71_AIDSUPPORT_3BFA1800FF10004A546178436F72655631.csv

JavaCard support version;3.0.5;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;3796B;
JCSystem.getMaxCommitCapacity();5120B;
APDU.getInBlockSize();1B;
APDU.getOutBlockSize();258B;
APDU.getProtocol();0B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 47 90 d3 21 47 00 00 00 00 00 83 53 01 56 14 99 18 38 00 00 00 00 00 00 00 00 01 1a 7c 31 35 36 31 34 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;d321
CPLC.OperatingSystemID;4700
CPLC.OperatingSystemReleaseDate;0000
CPLC.OperatingSystemReleaseLevel;0000
CPLC.ICFabricationDate;8353;(Y DDD) date in that year
CPLC.ICSerialNumber;01561499
CPLC.ICBatchIdentifier;1838
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;011a
CPLC.ICPrePersonalizationEquipmentDate;7c31
CPLC.ICPrePersonalizationEquipmentID;35363134
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.055000
ALG_DES_CBC_ISO9797_M1;yes;0.050000
ALG_DES_CBC_ISO9797_M2;yes;0.051000
ALG_DES_CBC_PKCS5;yes;0.059000
ALG_DES_ECB_NOPAD;yes;0.058000
ALG_DES_ECB_ISO9797_M1;yes;0.050000
ALG_DES_ECB_ISO9797_M2;yes;0.047000
ALG_DES_ECB_PKCS5;yes;0.059000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.046000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.030000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.055000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.046000
ALG_RSA_PKCS1_OAEP;yes;0.029000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.052000
