INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Anonymous;
Execution date/time; 2019/11/26 12:09:29
AlgTestJClient version; 1.7.6
AlgTest applet version; 1.7.9
Used reader; ACS APG8201-B2
Card ATR; 3b fc 18 00 00 81 31 80 45 90 67 46 4a 00 64 16 06 f2 72 7e 00 e0
Card name; PIVKey C910
Card provider; https://www.amazon.com/gp/product/B00SJV2CNK
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no
Package_AID_test;PIVKey_C910_AIDSUPPORT_3BFC180000813180459067464A00641606F2727E00E0.csv

JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;1144B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1711B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;384B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;384B;
CPLC; failed to obtain CPLC
javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.048000
ALG_DES_CBC_ISO9797_M1;yes;0.048000
ALG_DES_CBC_ISO9797_M2;yes;0.048000
ALG_DES_CBC_PKCS5;yes;0.048000
ALG_DES_ECB_NOPAD;yes;0.048000
ALG_DES_ECB_ISO9797_M1;yes;0.048000
ALG_DES_ECB_ISO9797_M2;yes;0.048000
ALG_DES_ECB_PKCS5;yes;0.048000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.051000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;SystemException_NO_TRANSIENT_SPACE;
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.051000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.048000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
