INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Execution date/time; 2013/06/28 15:30:47
AlgTestJClient version; 1.1
AlgTest applet version; 1.1
Used reader; PC/SC terminal SCM Microsystems Inc. SDI010 Smart Card Reader 0
Card ATR; 3b 7d 94 00 00 80 31 80 65 b0 83 11 d0 a9 83 00 90 00 
Used protocol; T=0

JavaCard support version;2.2.1;
javacardx.apdu.ExtendedLength; 
Extended APDU;no

CPLC; 9f 7f 2a 42 50 30 72 12 91 60 95 05 00 81 26 02 02 4c 85 21 33 00 00 82 60 03 33 82 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4250;Samsung
CPLC.ICType;3072
CPLC.OperatingSystemID;1291
CPLC.OperatingSystemReleaseDate;6095
CPLC.OperatingSystemReleaseLevel;0500
CPLC.ICFabricationDate;8126;(Y DDD) date in that year
CPLC.ICSerialNumber;02024c85
CPLC.ICBatchIdentifier;2133
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;8260
CPLC.ICCManufacturer;0333
CPLC.ICEmbeddingDate;8260
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000


javacardx.crypto.Cipher;
ALG_DES_CBC_NOPAD;yes;
ALG_DES_CBC_ISO9797_M1;yes;
ALG_DES_CBC_ISO9797_M2;yes;
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;
ALG_DES_ECB_ISO9797_M1;yes;
ALG_DES_ECB_ISO9797_M2;yes;
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;
ALG_AES_BLOCK_128_CBC_NOPAD;yes;
ALG_AES_BLOCK_128_ECB_NOPAD;yes;
ALG_RSA_PKCS1_OAEP;no;
