INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Luka Logar
Execution date/time; 2018/11/21 08:28:24
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; PC/SC terminal OMNIKEY AG CardMan 3121 00 00
Card ATR; 3b 11 95 80
Card name; NXP J3H145
Card provider; https://www.javacardos.com
Used protocol; T=0

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2792B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;32767B;

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0,156000
ALG_DES_CBC_ISO9797_M1;yes;0,148000
ALG_DES_CBC_ISO9797_M2;yes;0,167000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0,129000
ALG_DES_ECB_ISO9797_M1;yes;0,166000
ALG_DES_ECB_ISO9797_M2;yes;0,176000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0,087000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0,085000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0,162000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0,154000
ALG_RSA_PKCS1_OAEP;yes;0,097000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0,160000
ALG_AES_CBC_ISO9797_M2;yes;0,169000
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;yes;0,139000
ALG_AES_ECB_ISO9797_M2;yes;0,153000
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0,154000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0,138000
ALG_DES_MAC4_ISO9797_M2;yes;0,179000
ALG_DES_MAC8_ISO9797_M2;yes;0,177000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0,086000
ALG_RSA_SHA_PKCS1;yes;0,107000
ALG_RSA_MD5_PKCS1;no;
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0,086000
ALG_AES_MAC_128_NOPAD;yes;0,171000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0,164000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0,148000
ALG_RSA_SHA_PKCS1_PSS;yes;0,100000
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0,119000
ALG_ECDSA_SHA_384;yes;0,117000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0,087000
ALG_ECDSA_SHA_512;yes;0,118000
ALG_RSA_SHA_224_PKCS1;yes;0,114000
ALG_RSA_SHA_256_PKCS1;yes;0,115000
ALG_RSA_SHA_384_PKCS1;yes;0,115000
ALG_RSA_SHA_512_PKCS1;yes;0,118000
ALG_RSA_SHA_224_PKCS1_PSS;yes;0,116000
ALG_RSA_SHA_256_PKCS1_PSS;yes;0,116000
ALG_RSA_SHA_384_PKCS1_PSS;yes;0,115000
ALG_RSA_SHA_512_PKCS1_PSS;yes;0,117000
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;yes;0,158000
ALG_AES_CMAC_128;no;

javacard.security.MessageDigest
ALG_SHA;yes;0,085000
ALG_MD5;no;
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0,086000
ALG_SHA_384;yes;0,109000
ALG_SHA_512;yes;0,110000
ALG_SHA_224;yes;0,110000
ALG_SHA3_224;no;
ALG_SHA3_256;no;
ALG_SHA3_384;no;
ALG_SHA3_512;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0,040000
ALG_SECURE_RANDOM;yes;0,045000
ALG_TRNG;no;
ALG_ALG_PRESEEDED_DRBG;no;
ALG_FAST;no;
ALG_KEYGENERATION;no;

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0,066000
TYPE_DES_TRANSIENT_DESELECT;yes;0,082000
TYPE_DES LENGTH_DES;yes;0,070000
TYPE_DES LENGTH_DES3_2KEY;yes;0,071000
TYPE_DES LENGTH_DES3_3KEY;yes;0,062000
TYPE_AES_TRANSIENT_RESET;yes;0,089000
TYPE_AES_TRANSIENT_DESELECT;yes;0,096000
TYPE_AES LENGTH_AES_128;yes;0,069000
TYPE_AES LENGTH_AES_192;yes;0,071000
TYPE_AES LENGTH_AES_256;yes;0,062000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0,064000
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0,082000
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0,084000
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0,084000
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0,079000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0,080000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0,082000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0,086000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0,079000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0,054000
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0,072000
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0,083000
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0,086000
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0,089000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0,087000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0,081000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0,080000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0,075000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0,103000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;0,117000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0,112000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0,116000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;0,115000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;0,133000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;0,113000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;0,132000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;0,125000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;
TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;yes;0,058000
