INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2015/07/21 13:10:05
AlgTestJClient version; 1.6.0
AlgTest applet version; 1.6.0
Used reader; PC/SC terminal Gemplus USB Smart Card Reader 2
Card ATR; 3b eb 00 00 81 31 20 45 4a 43 4f 50 33 31 33 36 47 44 54 78
Card name; NXP JCOP 31 V2.2 36K
Performance; yes
Used protocol; T=1
Package_AID_test; NXP_JCOP_31_V2.2_36K_AIDSUPPORT_3BEB0000813120454A434F503331333647445478.csv

JavaCard support version;2.2.1;

JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;30224B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1983B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;512B;
JCSystem.getMaxCommitCapacity();512B;

CPLC; 9f 7f 2a 47 90 50 15 40 51 51 58 24 00 63 06 00 21 74 91 06 77 48 10 63 13 00 00 00 00 02 0f 2c 30 32 31 37 34 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;5015
CPLC.OperatingSystemID;4051
CPLC.OperatingSystemReleaseDate;5158
CPLC.OperatingSystemReleaseLevel;2400
CPLC.ICFabricationDate;6306;(Y DDD) date in that year
CPLC.ICSerialNumber;00217491
CPLC.ICBatchIdentifier;0677
CPLC.ICModuleFabricator;4810
CPLC.ICModulePackagingDate;6313
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;020f
CPLC.ICPrePersonalizationEquipmentDate;2c30
CPLC.ICPrePersonalizationEquipmentID;32313734
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0,398000
ALG_DES_CBC_ISO9797_M1;yes;0,391000
ALG_DES_CBC_ISO9797_M2;yes;0,391000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0,392000
ALG_DES_ECB_ISO9797_M1;yes;0,383000
ALG_DES_ECB_ISO9797_M2;yes;0,381000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0,409000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0,421000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0,400000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0,393000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0,397000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0,391000
ALG_DES_MAC4_ISO9797_M2;no;
ALG_DES_MAC8_ISO9797_M2;yes;0,389000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0,436000
ALG_RSA_SHA_PKCS1;yes;0,403000
ALG_RSA_MD5_PKCS1;yes;0,409000
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0,403000
ALG_AES_MAC_128_NOPAD;yes;0,412000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0,403000
