INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Luka Logar
Execution date/time; 2018/11/21 09:01:07
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; PC/SC terminal Giesecke & Devrient GmbH StarSign CUT S [.] (Q1160406001242) 01 00
Card ATR; 3b f0 96 00 00 81 31 fe 45 6d
Card name; G+D StarSign Crypto USB token S
Card provider; https://www.idpendant.de
Used protocol; T=1

JavaCard support version;3.0.4

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;6194B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;755B;
JCSystem.getMaxCommitCapacity();755B;

CPLC; 9f 7f 2a 00 05 00 56 d0 01 42 12 01 02 05 6a 00 20 00 12 20 07 00 00 00 00 00 00 00 00 cf c7 80 75 43 46 43 37 cf c7 80 75 43 46 43 37
CPLC.ICFabricator;0005;unknown
CPLC.ICType;0056
CPLC.OperatingSystemID;d001
CPLC.OperatingSystemReleaseDate;4212
CPLC.OperatingSystemReleaseLevel;0102
CPLC.ICFabricationDate;056a;(Y DDD) date in that year
CPLC.ICSerialNumber;00200012
CPLC.ICBatchIdentifier;2007
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;cfc7
CPLC.ICPrePersonalizationEquipmentDate;8075
CPLC.ICPrePersonalizationEquipmentID;43464337
CPLC.ICPersonalizer;cfc7
CPLC.ICPersonalizationDate;8075
CPLC.ICPersonalizationEquipmentID;43464337
CPLC.ICPersonalizationEquipmentID;43464337

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0,073000
ALG_DES_CBC_ISO9797_M1;yes;0,069000
ALG_DES_CBC_ISO9797_M2;yes;0,077000
ALG_DES_CBC_PKCS5;yes;0,080000
ALG_DES_ECB_NOPAD;yes;0,073000
ALG_DES_ECB_ISO9797_M1;yes;0,077000
ALG_DES_ECB_ISO9797_M2;yes;0,076000
ALG_DES_ECB_PKCS5;yes;0,078000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0,081000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0,070000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0,077000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0,078000
ALG_RSA_PKCS1_OAEP;yes;0,078000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0,070000
ALG_AES_CBC_ISO9797_M2;yes;0,076000
ALG_AES_CBC_PKCS5;yes;0,078000
ALG_AES_ECB_ISO9797_M1;yes;0,076000
ALG_AES_ECB_ISO9797_M2;yes;0,077000
ALG_AES_ECB_PKCS5;yes;0,076000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0,099000
ALG_DES_MAC8_NOPAD;yes;0,089000
ALG_DES_MAC4_ISO9797_M1;yes;0,089000
ALG_DES_MAC8_ISO9797_M1;yes;0,095000
ALG_DES_MAC4_ISO9797_M2;yes;0,090000
ALG_DES_MAC8_ISO9797_M2;yes;0,093000
ALG_DES_MAC4_PKCS5;yes;0,093000
ALG_DES_MAC8_PKCS5;yes;0,093000
ALG_RSA_SHA_ISO9796;yes;0,134000
ALG_RSA_SHA_PKCS1;yes;0,126000
ALG_RSA_MD5_PKCS1;no;
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;yes;0,114000
ALG_RSA_SHA_RFC2409;yes;0,117000
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0,113000
ALG_AES_MAC_128_NOPAD;yes;0,095000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0,098000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0,094000
ALG_RSA_SHA_PKCS1_PSS;yes;0,113000
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0,108000
ALG_ECDSA_SHA_384;yes;0,103000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0,109000
ALG_ECDSA_SHA_512;yes;0,124000
ALG_RSA_SHA_224_PKCS1;yes;0,114000
ALG_RSA_SHA_256_PKCS1;yes;0,112000
ALG_RSA_SHA_384_PKCS1;yes;0,118000
ALG_RSA_SHA_512_PKCS1;yes;0,120000
ALG_RSA_SHA_224_PKCS1_PSS;yes;0,115000
ALG_RSA_SHA_256_PKCS1_PSS;yes;0,123000
ALG_RSA_SHA_384_PKCS1_PSS;yes;0,117000
ALG_RSA_SHA_512_PKCS1_PSS;yes;0,120000
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;
ALG_AES_CMAC_128;no;

javacard.security.MessageDigest
ALG_SHA;yes;0,087000
ALG_MD5;no;
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0,089000
ALG_SHA_384;yes;0,087000
ALG_SHA_512;yes;0,088000
ALG_SHA_224;yes;0,104000
ALG_SHA3_224;no;
ALG_SHA3_256;no;
ALG_SHA3_384;no;
ALG_SHA3_512;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0,045000
ALG_SECURE_RANDOM;yes;0,044000
ALG_TRNG;no;
ALG_ALG_PRESEEDED_DRBG;no;
ALG_FAST;no;
ALG_KEYGENERATION;no;

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0,063000
TYPE_DES_TRANSIENT_DESELECT;yes;0,068000
TYPE_DES LENGTH_DES;yes;0,075000
TYPE_DES LENGTH_DES3_2KEY;yes;0,076000
TYPE_DES LENGTH_DES3_3KEY;yes;0,073000
TYPE_AES_TRANSIENT_RESET;yes;0,070000
TYPE_AES_TRANSIENT_DESELECT;yes;0,075000
TYPE_AES LENGTH_AES_128;yes;0,075000
TYPE_AES LENGTH_AES_192;yes;0,073000
TYPE_AES LENGTH_AES_256;yes;0,072000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0,077000
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0,088000
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0,083000
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0,082000
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0,068000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0,081000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0,082000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0,083000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0,082000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;yes;0,081000
TYPE_RSA_PUBLIC LENGTH_RSA_4096;yes;0,089000
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0,073000
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0,085000
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0,085000
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0,085000
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0,091000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0,083000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0,083000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0,081000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0,081000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;yes;0,057000
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;yes;0,075000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0,079000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;0,081000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0,080000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0,082000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;0,079000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;0,089000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;0,075000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;0,080000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;0,070000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;yes;0,092000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;yes;0,086000
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;yes;0,065000
