INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Amir Digar Nemikhandad.;,
Execution date/time; 2015/01/29 10:27:16,
AlgTestJClient version; 1.3.0,
AlgTest applet version; error,
Used reader; PC/SC terminal ACS CCID USB Reader 0PC/SC terminal ACS CCID USB Reader 0,
Card ATR; 3b 68 00 00 00 73 c8 40 12 00 90 00 3b 68 00 00 00 73 c8 40 12 00 90 00 ,
Used protocol; T=0T=0,
,
JCSystem.getVersion()[Major.Minor];2.2;,
JCSystem.isObjectDeletionSupported;yes;,
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;,
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;1679B;,
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;800B;,
,
,
javacardx.crypto.Cipher;,
ALG_DES_CBC_NOPAD;yes;,
ALG_DES_CBC_ISO9797_M1;yes;,
ALG_DES_CBC_ISO9797_M2;yes;,
ALG_DES_CBC_PKCS5;no;,
ALG_DES_ECB_NOPAD;yes;,
ALG_DES_ECB_ISO9797_M1;yes;,
ALG_DES_ECB_ISO9797_M2;yes;,
ALG_DES_ECB_PKCS5;no;,
ALG_RSA_ISO14888;no;,
ALG_RSA_PKCS1;yes;,
ALG_RSA_ISO9796;no;,
ALG_RSA_NOPAD;yes;,
ALG_AES_BLOCK_128_CBC_NOPAD;yes;,
ALG_AES_BLOCK_128_ECB_NOPAD;yes;,
ALG_RSA_PKCS1_OAEP;no;,
ALG_KOREAN_SEED_ECB_NOPAD;no;,
ALG_KOREAN_SEED_CBC_NOPAD;no;,
ALG_AES_BLOCK_192_CBC_NOPAD;no;,
ALG_AES_BLOCK_192_ECB_NOPAD;no;,
ALG_AES_BLOCK_256_CBC_NOPAD;no;,
ALG_AES_BLOCK_256_ECB_NOPAD;no;,
ALG_AES_CBC_ISO9797_M1;no;,
ALG_AES_CBC_ISO9797_M2;no;,
ALG_AES_CBC_PKCS5;no;,
ALG_AES_ECB_ISO9797_M1;no;,
ALG_AES_ECB_ISO9797_M2;no;,
ALG_AES_ECB_PKCS5;no;,
,
javacard.crypto.Signature;,
ALG_DES_MAC4_NOPAD;no;,
ALG_DES_MAC8_NOPAD;yes;,
ALG_DES_MAC4_ISO9797_M1;no;,
ALG_DES_MAC8_ISO9797_M1;yes;,
ALG_DES_MAC4_ISO9797_M2;no;,
ALG_DES_MAC8_ISO9797_M2;yes;,
ALG_DES_MAC4_PKCS5;no;,
ALG_DES_MAC8_PKCS5;no;,
ALG_RSA_SHA_ISO9796;yes;,
ALG_RSA_SHA_PKCS1;yes;,
ALG_RSA_MD5_PKCS1;no;,
ALG_RSA_RIPEMD160_ISO9796;no;,
ALG_RSA_RIPEMD160_PKCS1;no;,
ALG_DSA_SHA;no;,
ALG_RSA_SHA_RFC2409;no;,
ALG_RSA_MD5_RFC2409;no;,
ALG_ECDSA_SHA;no;,
ALG_AES_MAC_128_NOPAD;yes;,
ALG_DES_MAC4_ISO9797_1_M2_ALG3;no;,
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;,
ALG_RSA_SHA_PKCS1_PSS;no;,
ALG_RSA_MD5_PKCS1_PSS;no;,
ALG_RSA_RIPEMD160_PKCS1_PSS;no;,
ALG_HMAC_SHA1;no;,
ALG_HMAC_SHA_256;no;,
ALG_HMAC_SHA_384;no;,
ALG_HMAC_SHA_512;no;,
ALG_HMAC_MD5;no;,
ALG_HMAC_RIPEMD160;no;,
ALG_RSA_SHA_ISO9796_MR;no;,
ALG_RSA_RIPEMD160_ISO9796_MR;no;,
ALG_SEED_MAC_NOPAD;no;,
ALG_ECDSA_SHA_256;no;,
ALG_ECDSA_SHA_384;no;,
ALG_AES_MAC_192_NOPAD;no;,
ALG_AES_MAC_256_NOPAD;no;,
ALG_ECDSA_SHA_224;no;,
ALG_ECDSA_SHA_512;no;,
ALG_RSA_SHA_224_PKCS1;no;,
ALG_RSA_SHA_256_PKCS1;no;,
ALG_RSA_SHA_384_PKCS1;no;,
ALG_RSA_SHA_512_PKCS1;no;,
ALG_RSA_SHA_224_PKCS1_PSS;no;,
ALG_RSA_SHA_256_PKCS1_PSS;no;,
ALG_RSA_SHA_384_PKCS1_PSS;no;,
ALG_RSA_SHA_512_PKCS1_PSS;no;,
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;,
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;,
,
javacard.security.MessageDigest;,
ALG_SHA;yes;,
ALG_MD5;yes;,
ALG_RIPEMD160;no;,
ALG_SHA_256;no;,
ALG_SHA_384;no;,
ALG_SHA_512;no;,
ALG_SHA_224;no;,
,
javacard.security.RandomData;,
ALG_PSEUDO_RANDOM;yes;,
ALG_SECURE_RANDOM;yes;,
,
javacard.security.KeyBuilder;,
TYPE_DES_TRANSIENT_RESET;yes;,
TYPE_DES_TRANSIENT_DESELECT;yes;,
TYPE_DES LENGTH_DES;yes;,
TYPE_DES LENGTH_DES3_2KEY;yes;,
TYPE_DES LENGTH_DES3_3KEY;yes;,
TYPE_AES_TRANSIENT_RESET;yes;,
TYPE_AES_TRANSIENT_DESELECT;yes;,
TYPE_AES LENGTH_AES_128;yes;,
TYPE_AES LENGTH_AES_192;yes;,
TYPE_AES LENGTH_AES_256;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;,
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;,
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;,
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;,
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;,
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;,
TYPE_RSA_PRIVATE_TRANSIENT_RESET;no;,
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;no;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;,
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;,
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;no;,
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;no;,
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;,
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;,
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;,
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;,
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;,
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;,
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;,
TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;,
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;,
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;,
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;no;,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;no;,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;no;,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;no;,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;no;,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;no;,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;no;,
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;no;,
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;no;,
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;no;,
TYPE_KOREAN_SEED_TRANSIENT_RESET;no;,
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;no;,
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;no;,
TYPE_HMAC_TRANSIENT_RESET;no;,
TYPE_HMAC_TRANSIENT_DESELECT;no;,
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;,
