INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2018/11/07 14:14:46
AlgTestJClient version; 1.7.5
AlgTest applet version; 1.7.5
Used reader; PC/SC terminal Gemalto PC Twin Reader 00 00
Card ATR; 3b f9 96 00 00 80 31 fe 45 53 43 45 37 20 00 00 20 20 27
Card name; GD Smartcafe Expert 7
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1

JavaCard support version;3.0.4

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2019B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;755B;
JCSystem.getMaxCommitCapacity();755B;

CPLC; 9f 7f 2a 00 05 00 45 d0 01 40 21 01 01 04 47 00 25 00 2a a7 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
CPLC.ICFabricator;0005;unknown
CPLC.ICType;0045
CPLC.OperatingSystemID;d001
CPLC.OperatingSystemReleaseDate;4021
CPLC.OperatingSystemReleaseLevel;0101
CPLC.ICFabricationDate;0447;(Y DDD) date in that year
CPLC.ICSerialNumber;0025002a
CPLC.ICBatchIdentifier;a702
CPLC.ICModuleFabricator;0000
CPLC.ICModulePackagingDate;0000
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;0000
CPLC.ICPrePersonalizationEquipmentDate;0000
CPLC.ICPrePersonalizationEquipmentID;00000000
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.052000
ALG_DES_CBC_ISO9797_M1;yes;0.051000
ALG_DES_CBC_ISO9797_M2;yes;0.045000
ALG_DES_CBC_PKCS5;yes;0.051000
ALG_DES_ECB_NOPAD;yes;0.042000
ALG_DES_ECB_ISO9797_M1;yes;0.051000
ALG_DES_ECB_ISO9797_M2;yes;0.045000
