INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2016/11/16 09:38:10
AlgTestJClient version; 1.6.0
AlgTest applet version; 1.6.0
Used reader; PC/SC terminal SCM Microsystems Inc. SDI011G Contactless Reader 0
Card ATR; 3b 80 80 01 01
Card name; JC30M40CR
Used protocol; T=1
Package_AID_test; JavavCardOS_JC30M48CR_AIDSUPPORT_3B90958011FE6A.csv

JavaCard support version;3.0.4
JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;997B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;384B;
JCSystem.getMaxCommitCapacity();384B;

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.142000
ALG_DES_CBC_ISO9797_M1;yes;0.176000
ALG_DES_CBC_ISO9797_M2;yes;0.175000
ALG_DES_CBC_PKCS5;yes;0.172000
ALG_DES_ECB_NOPAD;yes;0.181000
ALG_DES_ECB_ISO9797_M1;yes;0.174000
ALG_DES_ECB_ISO9797_M2;yes;0.167000
ALG_DES_ECB_PKCS5;yes;0.174000
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.176000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.177000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.179000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.178000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0.180000
ALG_AES_CBC_ISO9797_M2;yes;0.165000
ALG_AES_CBC_PKCS5;yes;0.174000
ALG_AES_ECB_ISO9797_M1;yes;0.180000
ALG_AES_ECB_ISO9797_M2;yes;0.177000
ALG_AES_ECB_PKCS5;yes;0.176000

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.141000
ALG_DES_MAC8_NOPAD;yes;0.173000
ALG_DES_MAC4_ISO9797_M1;yes;0.177000
ALG_DES_MAC8_ISO9797_M1;yes;0.179000
ALG_DES_MAC4_ISO9797_M2;yes;0.176000
ALG_DES_MAC8_ISO9797_M2;yes;0.180000
ALG_DES_MAC4_PKCS5;yes;0.182000
ALG_DES_MAC8_PKCS5;yes;0.179000
ALG_RSA_SHA_ISO9796;yes;0.181000
ALG_RSA_SHA_PKCS1;yes;0.185000
ALG_RSA_MD5_PKCS1;yes;0.181000
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.362000
ALG_AES_MAC_128_NOPAD;yes;0.196000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0.192000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.197000
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;yes;0.195000
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0.371000
ALG_ECDSA_SHA_384;yes;0.382000
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0.384000
ALG_ECDSA_SHA_512;yes;0.381000
ALG_RSA_SHA_224_PKCS1;yes;0.197000
ALG_RSA_SHA_256_PKCS1;yes;0.191000
ALG_RSA_SHA_384_PKCS1;yes;0.192000
ALG_RSA_SHA_512_PKCS1;yes;0.186000
ALG_RSA_SHA_224_PKCS1_PSS;no;
ALG_RSA_SHA_256_PKCS1_PSS;no;
ALG_RSA_SHA_384_PKCS1_PSS;no;
ALG_RSA_SHA_512_PKCS1_PSS;no;
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;

javacard.security.MessageDigest
ALG_SHA;yes;0.160000
ALG_MD5;yes;0.190000
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0.193000
ALG_SHA_384;yes;0.194000
ALG_SHA_512;yes;0.191000
ALG_SHA_224;yes;0.196000

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0.143000
ALG_SECURE_RANDOM;yes;0.140000

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0.177000
TYPE_DES_TRANSIENT_DESELECT;yes;0.224000
TYPE_DES LENGTH_DES;yes;0.203000
TYPE_DES LENGTH_DES3_2KEY;yes;0.205000
TYPE_DES LENGTH_DES3_3KEY;yes;0.216000
TYPE_AES_TRANSIENT_RESET;yes;0.215000
TYPE_AES_TRANSIENT_DESELECT;yes;0.221000
TYPE_AES LENGTH_AES_128;yes;0.212000
TYPE_AES LENGTH_AES_192;yes;0.205000
TYPE_AES LENGTH_AES_256;yes;0.212000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0.224000
