INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; Satochip.io (https://github.com/Toporin);
Execution date/time; 2019/02/13 08:49:46
AlgTestJClient version; 1.7.6
AlgTest applet version; 1.7.6
Used reader; Feitian SCR301 0
Card ATR; 3b f9 18 00 00 81 31 fe 45 4a 32 44 30 38 31 5f 50 56 b6
Card name; NXP-JCOP-J2D081
Card provider; http://www.javacardsdk.com/product/j2d081sim2/
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JavaCard support version;3.0.1;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;3272B;
JCSystem.getMaxCommitCapacity();512B;
JCSystem.getMaxCommitCapacity();512B;

CPLC; 9f 7f 2a 47 90 51 67 47 91 20 81 3b 00 72 71 02 28 95 98 82 14 48 12 72 78 00 00 00 00 10 39 2d 32 32 38 39 35 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;5167
CPLC.OperatingSystemID;4791
CPLC.OperatingSystemReleaseDate;2081
CPLC.OperatingSystemReleaseLevel;3b00
CPLC.ICFabricationDate;7271;(Y DDD) date in that year
CPLC.ICSerialNumber;02289598
CPLC.ICBatchIdentifier;8214
CPLC.ICModuleFabricator;4812
CPLC.ICModulePackagingDate;7278
CPLC.ICCManufacturer;0000
CPLC.ICEmbeddingDate;0000
CPLC.ICPrePersonalizer;1039
CPLC.ICPrePersonalizationEquipmentDate;2d32
CPLC.ICPrePersonalizationEquipmentID;32383935
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.101000
ALG_DES_CBC_ISO9797_M1;yes;0.096000
ALG_DES_CBC_ISO9797_M2;yes;0.096000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0.095000
ALG_DES_ECB_ISO9797_M1;yes;0.087000
ALG_DES_ECB_ISO9797_M2;yes;0.089000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0.114000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.119000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.101000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.096000
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;yes;0.104000
ALG_KOREAN_SEED_CBC_NOPAD;yes;0.103000
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0.129000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0.128000
ALG_DES_MAC4_ISO9797_M2;no;
ALG_DES_MAC8_ISO9797_M2;yes;0.127000
ALG_DES_MAC4_PKCS5;no;
ALG_DES_MAC8_PKCS5;no;
ALG_RSA_SHA_ISO9796;yes;0.153000
ALG_RSA_SHA_PKCS1;yes;0.128000
ALG_RSA_MD5_PKCS1;yes;0.128000
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;no;
ALG_RSA_MD5_RFC2409;no;
ALG_ECDSA_SHA;yes;0.130000
ALG_AES_MAC_128_NOPAD;yes;0.138000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.129000
ALG_RSA_SHA_PKCS1_PSS;yes;0.154000
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;yes;0.146000
ALG_ECDSA_SHA_256;yes;0.130000
ALG_ECDSA_SHA_384;no;
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
