INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;;
Tested and provided by;Paul Andrew Crocker;Paul Andrew Crocker
Execution date/time; 2014/11/13 10:30:03; 2014/11/13 10:59:46
AlgTestJClient version; 1.2.1; 1.2.1
AlgTest applet version; 1.2; 1.2
Used reader; PC/SC terminal ACS CCID USB Reader 0; PC/SC terminal ACS CCID USB Reader 0
Card ATR; 3b f9 18 00 00 81 31 fe 45 4a 32 44 30 38 31 5f 50 56 b6 ; 3b f9 18 00 00 81 31 fe 45 4a 32 44 30 38 31 5f 50 56 b6 
Card name; NXP J2D081 80K

Used protocol; T=1; T=1
;;
JCSystem.getVersion()[Major.Minor];3.0;3.0
JCSystem.isObjectDeletionSupported;yes;yes
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;>32767B
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;3279B;3279B
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;3279B;3279B
;;
;;
javacardx.crypto.Cipher;;
ALG_DES_CBC_NOPAD;yes;yes
ALG_DES_CBC_ISO9797_M1;yes;yes
ALG_DES_CBC_ISO9797_M2;yes;yes
ALG_DES_CBC_PKCS5;no;no
ALG_DES_ECB_NOPAD;yes;yes
ALG_DES_ECB_ISO9797_M1;yes;yes
ALG_DES_ECB_ISO9797_M2;yes;yes
ALG_DES_ECB_PKCS5;no;no
ALG_RSA_ISO14888;no;no
ALG_RSA_PKCS1;yes;yes
ALG_RSA_ISO9796;no;no
ALG_RSA_NOPAD;yes;yes
ALG_AES_BLOCK_128_CBC_NOPAD;yes;yes
ALG_AES_BLOCK_128_ECB_NOPAD;yes;yes
ALG_RSA_PKCS1_OAEP;no;no
ALG_KOREAN_SEED_ECB_NOPAD;yes;yes
ALG_KOREAN_SEED_CBC_NOPAD;yes;yes
ALG_AES_BLOCK_192_CBC_NOPAD;no;no
ALG_AES_BLOCK_192_ECB_NOPAD;no;no
ALG_AES_BLOCK_256_CBC_NOPAD;no;no
ALG_AES_BLOCK_256_ECB_NOPAD;no;no
ALG_AES_CBC_ISO9797_M1;no;no
ALG_AES_CBC_ISO9797_M2;no;no
ALG_AES_CBC_PKCS5;no;no
ALG_AES_ECB_ISO9797_M1;no;no
ALG_AES_ECB_ISO9797_M2;no;no
ALG_AES_ECB_PKCS5;no;no
;;
javacard.crypto.Signature;;
ALG_DES_MAC4_NOPAD;no;no
ALG_DES_MAC8_NOPAD;yes;yes
ALG_DES_MAC4_ISO9797_M1;no;no
ALG_DES_MAC8_ISO9797_M1;yes;yes
ALG_DES_MAC4_ISO9797_M2;no;no
ALG_DES_MAC8_ISO9797_M2;yes;yes
ALG_DES_MAC4_PKCS5;no;no
ALG_DES_MAC8_PKCS5;no;no
ALG_RSA_SHA_ISO9796;yes;yes
ALG_RSA_SHA_PKCS1;yes;yes
ALG_RSA_MD5_PKCS1;yes;yes
ALG_RSA_RIPEMD160_ISO9796;no;no
ALG_RSA_RIPEMD160_PKCS1;no;no
ALG_DSA_SHA;no;no
ALG_RSA_SHA_RFC2409;no;no
ALG_RSA_MD5_RFC2409;no;no
ALG_ECDSA_SHA;yes;yes
ALG_AES_MAC_128_NOPAD;yes;yes
ALG_DES_MAC4_ISO9797_1_M2_ALG3;no;no
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;yes
ALG_RSA_SHA_PKCS1_PSS;yes;yes
ALG_RSA_MD5_PKCS1_PSS;no;no
ALG_RSA_RIPEMD160_PKCS1_PSS;no;no
ALG_HMAC_SHA1;no;no
ALG_HMAC_SHA_256;no;no
ALG_HMAC_SHA_384;no;no
ALG_HMAC_SHA_512;no;no
ALG_HMAC_MD5;no;no
ALG_HMAC_RIPEMD160;no;no
ALG_RSA_SHA_ISO9796_MR;no;no
ALG_RSA_RIPEMD160_ISO9796_MR;no;no
ALG_SEED_MAC_NOPAD;yes;yes
ALG_ECDSA_SHA_256;yes;yes
ALG_ECDSA_SHA_384;no;no
ALG_AES_MAC_192_NOPAD;no;no
ALG_AES_MAC_256_NOPAD;no;no
ALG_ECDSA_SHA_224;yes;yes
ALG_ECDSA_SHA_512;no;no
ALG_RSA_SHA_224_PKCS1;no;no
ALG_RSA_SHA_256_PKCS1;yes;yes
ALG_RSA_SHA_384_PKCS1;no;no
ALG_RSA_SHA_512_PKCS1;no;no
ALG_RSA_SHA_224_PKCS1_PSS;yes;yes
ALG_RSA_SHA_256_PKCS1_PSS;yes;yes
ALG_RSA_SHA_384_PKCS1_PSS;no;no
ALG_RSA_SHA_512_PKCS1_PSS;no;no
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;no
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;no
;;
javacard.security.MessageDigest;;
ALG_SHA;yes;yes
ALG_MD5;yes;yes
ALG_RIPEMD160;no;no
ALG_SHA_256;yes;yes
ALG_SHA_384;no;no
ALG_SHA_512;no;no
ALG_SHA_224;yes;yes
;;
javacard.security.RandomData;;
ALG_PSEUDO_RANDOM;yes;yes
ALG_SECURE_RANDOM;yes;yes
;;
javacard.security.KeyBuilder;;
TYPE_DES_TRANSIENT_RESET;yes;yes
TYPE_DES_TRANSIENT_DESELECT;yes;yes
TYPE_DES LENGTH_DES;yes;yes
TYPE_DES LENGTH_DES3_2KEY;yes;yes
TYPE_DES LENGTH_DES3_3KEY;yes;yes
TYPE_AES_TRANSIENT_RESET;yes;yes
TYPE_AES_TRANSIENT_DESELECT;yes;yes
TYPE_AES LENGTH_AES_128;yes;yes
TYPE_AES LENGTH_AES_192;yes;yes
TYPE_AES LENGTH_AES_256;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;yes
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;no
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;no
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;yes
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;no
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;no
TYPE_RSA_PRIVATE_TRANSIENT_RESET;no;no
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;no;no
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;yes
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;no
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;no
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;no;no
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;no;no
TYPE_DSA_PRIVATE LENGTH_DSA_512;no;no
TYPE_DSA_PRIVATE LENGTH_DSA_768;no;no
TYPE_DSA_PRIVATE LENGTH_DSA_1024;no;no
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;no
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;no
TYPE_DSA_PUBLIC LENGTH_DSA_512;no;no
TYPE_DSA_PUBLIC LENGTH_DSA_768;no;no
TYPE_DSA_PUBLIC LENGTH_DSA_1024;no;no
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;no
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;no
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;no
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;no
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;no
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;no
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;no;no
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;yes;yes
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;yes;yes
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;yes;yes
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;yes;yes
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;yes;yes
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;no;no
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;no;no
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;no;no
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;no;no
TYPE_KOREAN_SEED_TRANSIENT_RESET;yes;yes
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;yes;yes
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;yes;yes
TYPE_HMAC_TRANSIENT_RESET;no;no
TYPE_HMAC_TRANSIENT_DESELECT;no;no
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;no
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;no;no
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;no;no
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;no;no
;;
javacard.security.KeyPair ALG_RSA on-card generation;;
ALG_RSA LENGTH_RSA_512;yes;yes
ALG_RSA LENGTH_RSA_736;yes;yes
ALG_RSA LENGTH_RSA_768;yes;yes
ALG_RSA LENGTH_RSA_896;yes;yes
ALG_RSA LENGTH_RSA_1024;yes;yes
ALG_RSA LENGTH_RSA_1280;yes;yes
ALG_RSA LENGTH_RSA_1536;yes;yes
ALG_RSA LENGTH_RSA_1984;yes;yes
ALG_RSA LENGTH_RSA_2048;yes;yes
ALG_RSA LENGTH_RSA_3072;no;no
ALG_RSA LENGTH_RSA_4096;no;no
;;
javacard.security.KeyPair ALG_RSA_CRT on-card generation;;
ALG_RSA_CRT LENGTH_RSA_512;yes;yes
ALG_RSA_CRT LENGTH_RSA_736;yes;yes
ALG_RSA_CRT LENGTH_RSA_768;yes;yes
ALG_RSA_CRT LENGTH_RSA_896;yes;yes
ALG_RSA_CRT LENGTH_RSA_1024;yes;yes
ALG_RSA_CRT LENGTH_RSA_1280;yes;yes
ALG_RSA_CRT LENGTH_RSA_1536;yes;yes
ALG_RSA_CRT LENGTH_RSA_1984;yes;yes
