INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2014/02/24 16:00:33
AlgTestJClient version; 1.2
AlgTest applet version; 1.2
Used reader; JnaCardTerminal{scardHandle=SCardContext{1038f2f}, name=OMNIKEY CardMan 1021 00 00}
Card ATR; 3b 7d 96 00 00 80 31 80 65 b0 83 11 d0 a9 83 00 90 00 
Used protocol; T=0

JavaCard support version;2.2.1;

JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;5098B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;5098B;

CPLC; 9f 7f 2a 47 90 50 81 12 91 11 02 02 01 33 47 00 00 8f 90 74 ca 40 82 40 76 12 93 40 76 20 04 40 76 00 00 00 14 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;5081
CPLC.OperatingSystemID;1291
CPLC.OperatingSystemReleaseDate;1102
CPLC.OperatingSystemReleaseLevel;0201
CPLC.ICFabricationDate;3347;(Y DDD) date in that year
CPLC.ICSerialNumber;00008f90
CPLC.ICBatchIdentifier;74ca
CPLC.ICModuleFabricator;4082
CPLC.ICModulePackagingDate;4076
CPLC.ICCManufacturer;1293
CPLC.ICEmbeddingDate;4076
CPLC.ICPrePersonalizer;2004
CPLC.ICPrePersonalizationEquipmentDate;4076
CPLC.ICPrePersonalizationEquipmentID;00000014
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher;
ALG_DES_CBC_NOPAD;yes;
ALG_DES_CBC_ISO9797_M1;yes;
ALG_DES_CBC_ISO9797_M2;yes;
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;
ALG_DES_ECB_ISO9797_M1;yes;
ALG_DES_ECB_ISO9797_M2;yes;
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;
ALG_AES_BLOCK_128_CBC_NOPAD;yes;
ALG_AES_BLOCK_128_ECB_NOPAD;yes;
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
