INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2020/05/17 03:54:59
AlgTestJClient version; 1.7.9
AlgTest applet version; 1.7.9
Used reader; ACS ACR39U ICC Reader 0
Card ATR; 3b 94 95 81 01 46 54 56 00 c5
Card name; J3H145...C5
Card provider; please insert link/description of shop where card was bought
Used protocol; T=1
High-power mode supported (relevant only to SIM cards according to ETSI 102 221); no

JavaCard support version;3.0.4;

JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2884B;
JCSystem.getMaxCommitCapacity();32767B;
APDU.getInBlockSize();254B;
APDU.getOutBlockSize();247B;
APDU.getProtocol();1B;
APDU.getNAD();0B;

CPLC; 9f 7f 2a 47 90 05 03 82 11 63 51 03 02 83 59 01 80 67 07 46 73 4e 30 50 38 35 32 42 46 4a 31 30 31 38 30 36 37 06 00 01 23 b1 99 f4 b7
CPLC.ICFabricator;4790;NXP
CPLC.ICType;0503
CPLC.OperatingSystemID;8211
CPLC.OperatingSystemReleaseDate;6351
CPLC.OperatingSystemReleaseLevel;0302
CPLC.ICFabricationDate;8359;(Y DDD) date in that year
CPLC.ICSerialNumber;01806707
CPLC.ICBatchIdentifier;4673
CPLC.ICModuleFabricator;4e30
CPLC.ICModulePackagingDate;5038
CPLC.ICCManufacturer;3532
CPLC.ICEmbeddingDate;4246
CPLC.ICPrePersonalizer;4a31
CPLC.ICPrePersonalizationEquipmentDate;3031
CPLC.ICPrePersonalizationEquipmentID;38303637
CPLC.ICPersonalizer;0600
CPLC.ICPersonalizationDate;0123
CPLC.ICPersonalizationEquipmentID;b199f4b7
CPLC.ICPersonalizationEquipmentID;b199f4b7

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0,093000
ALG_DES_CBC_ISO9797_M1;yes;0,093000
ALG_DES_CBC_ISO9797_M2;yes;0,093000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0,109000
ALG_DES_ECB_ISO9797_M1;yes;0,109000
ALG_DES_ECB_ISO9797_M2;yes;0,109000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0,062000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0,046000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0,109000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0,094000
ALG_RSA_PKCS1_OAEP;yes;0,047000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0,109000
ALG_AES_CBC_ISO9797_M2;yes;0,109000
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;yes;0,109000
ALG_AES_ECB_ISO9797_M2;yes;0,093000
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;no;
ALG_DES_MAC8_NOPAD;yes;0,110000
ALG_DES_MAC4_ISO9797_M1;no;
ALG_DES_MAC8_ISO9797_M1;yes;0,109000
ALG_DES_MAC4_ISO9797_M2;yes;0,093000
ALG_DES_MAC8_ISO9797_M2;yes;0,094000
ALG_DES_MAC4_PKCS5;no;
