INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2016/10/01 15:28:17
AlgTestJClient version; 1.7.0
AlgTest applet version; 1.7.0
Used reader; PC/SC terminal Gemplus USB Smart Card Reader 0
Card ATR; 3b 7b 18 00 00 00 31 c0 64 77 e9 10 00 01 90 00
Card name; Oberthur ID-ONE Cosmo 64 RSA v5.4
Performance; yes
Used protocol; T=0
Package_AID_test; Oberthur_ID-One_Cosmo_64_RSA_v5.4_AIDSUPPORT_3B7B1800000031C06477E91000019000.csv

JavaCard support version;2.2.1;
JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;758B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;511B;
JCSystem.getMaxCommitCapacity();511B;

CPLC; 9f 7f 2a 20 50 50 00 40 41 52 73 00 60 70 31 30 91 d3 78 00 00 19 12 70 31 19 13 70 31 19 14 70 31 00 11 52 21 00 00 00 00 00 00 00 00
CPLC.ICFabricator;2050;unknown
CPLC.ICType;5000
CPLC.OperatingSystemID;4041
CPLC.OperatingSystemReleaseDate;5273
CPLC.OperatingSystemReleaseLevel;0060
CPLC.ICFabricationDate;7031;(Y DDD) date in that year
CPLC.ICSerialNumber;3091d378
CPLC.ICBatchIdentifier;0000
CPLC.ICModuleFabricator;1912
CPLC.ICModulePackagingDate;7031
CPLC.ICCManufacturer;1913
CPLC.ICEmbeddingDate;7031
CPLC.ICPrePersonalizer;1914
CPLC.ICPrePersonalizationEquipmentDate;7031
CPLC.ICPrePersonalizationEquipmentID;00115221
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0,063000
ALG_DES_CBC_ISO9797_M1;yes;0,064000
ALG_DES_CBC_ISO9797_M2;yes;0,063000
ALG_DES_CBC_PKCS5;no;
ALG_DES_ECB_NOPAD;yes;0,064000
ALG_DES_ECB_ISO9797_M1;yes;0,063000
ALG_DES_ECB_ISO9797_M2;yes;0,063000
ALG_DES_ECB_PKCS5;no;
ALG_RSA_ISO14888;no;
ALG_RSA_PKCS1;yes;0,063000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0,063000
ALG_AES_BLOCK_128_CBC_NOPAD;no;
ALG_AES_BLOCK_128_ECB_NOPAD;no;
ALG_RSA_PKCS1_OAEP;yes;0,063000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
