INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2015/12/22 13:27:09
AlgTestJClient version; 1.6.0
AlgTest applet version; 1.6.0
Used reader; PC/SC terminal Gemplus USB Smart Card Reader 0
Card ATR; 3b f7 18 00 00 80 31 fe 45 73 66 74 65 2d 6e 66 c4
Card name; G+D Smartcafe Expert 3.2 72K
Used protocol; T=1
Package_AID_test; GD_SmartCafe_Expert_3.2_72K_AIDSUPPORT_3BF71800008031FE45736674652D6E66C4.csv

JavaCard support version;2.2.2
JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2040B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;819B;
JCSystem.getMaxCommitCapacity();819B;

CPLC; 9f 7f 2a 47 90 50 22 16 71 73 54 43 25 31 26 96 00 97 54 31 74 47 92 33 30 16 73 73 54 16 74 33 30 00 00 00 52 00 00 00 00 00 00 00 00
CPLC.ICFabricator;4790;NXP
CPLC.ICType;5022
CPLC.OperatingSystemID;1671
CPLC.OperatingSystemReleaseDate;7354
CPLC.OperatingSystemReleaseLevel;4325
CPLC.ICFabricationDate;3126;(Y DDD) date in that year
CPLC.ICSerialNumber;96009754
CPLC.ICBatchIdentifier;3174
CPLC.ICModuleFabricator;4792
CPLC.ICModulePackagingDate;3330
CPLC.ICCManufacturer;1673
CPLC.ICEmbeddingDate;7354
CPLC.ICPrePersonalizer;1674
CPLC.ICPrePersonalizationEquipmentDate;3330
CPLC.ICPrePersonalizationEquipmentID;00000052
CPLC.ICPersonalizer;0000
CPLC.ICPersonalizationDate;0000
CPLC.ICPersonalizationEquipmentID;00000000
CPLC.ICPersonalizationEquipmentID;00000000

javacardx.crypto.Cipher
ALG_DES_CBC_NOPAD;yes;0.074000
ALG_DES_CBC_ISO9797_M1;yes;0.081000
ALG_DES_CBC_ISO9797_M2;yes;0.074000
ALG_DES_CBC_PKCS5;yes;0.078000
ALG_DES_ECB_NOPAD;yes;0.071000
ALG_DES_ECB_ISO9797_M1;yes;0.079000
ALG_DES_ECB_ISO9797_M2;yes;0.073000
ALG_DES_ECB_PKCS5;yes;0.079000
ALG_RSA_ISO14888;yes;0.071000
ALG_RSA_PKCS1;yes;0.070000
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0.071000
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0.076000
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0.072000
ALG_RSA_PKCS1_OAEP;yes;0.072000
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature
ALG_DES_MAC4_NOPAD;yes;0.089000
ALG_DES_MAC8_NOPAD;yes;0.092000
ALG_DES_MAC4_ISO9797_M1;yes;0.089000
ALG_DES_MAC8_ISO9797_M1;yes;0.093000
ALG_DES_MAC4_ISO9797_M2;yes;0.089000
ALG_DES_MAC8_ISO9797_M2;yes;0.093000
ALG_DES_MAC4_PKCS5;yes;0.089000
ALG_DES_MAC8_PKCS5;yes;0.093000
ALG_RSA_SHA_ISO9796;yes;0.103000
ALG_RSA_SHA_PKCS1;yes;0.104000
ALG_RSA_MD5_PKCS1;yes;0.105000
ALG_RSA_RIPEMD160_ISO9796;yes;0.105000
ALG_RSA_RIPEMD160_PKCS1;yes;0.103000
ALG_DSA_SHA;yes;0.104000
ALG_RSA_SHA_RFC2409;yes;0.104000
ALG_RSA_MD5_RFC2409;yes;0.104000
ALG_ECDSA_SHA;no;
ALG_AES_MAC_128_NOPAD;yes;0.087000
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0.094000
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0.090000
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
ALG_HMAC_SHA_512;no;
ALG_HMAC_MD5;no;
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;no;
ALG_ECDSA_SHA_384;no;
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;no;
ALG_ECDSA_SHA_512;no;
ALG_RSA_SHA_224_PKCS1;no;
ALG_RSA_SHA_256_PKCS1;no;
ALG_RSA_SHA_384_PKCS1;no;
ALG_RSA_SHA_512_PKCS1;no;
ALG_RSA_SHA_224_PKCS1_PSS;no;
ALG_RSA_SHA_256_PKCS1_PSS;no;
ALG_RSA_SHA_384_PKCS1_PSS;no;
ALG_RSA_SHA_512_PKCS1_PSS;no;
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;

javacard.security.MessageDigest
ALG_SHA;yes;0.086000
ALG_MD5;yes;0.089000
ALG_RIPEMD160;yes;0.084000
ALG_SHA_256;yes;0.090000
ALG_SHA_384;no;
ALG_SHA_512;no;
ALG_SHA_224;no;

javacard.security.RandomData
ALG_PSEUDO_RANDOM;yes;0.040000
ALG_SECURE_RANDOM;yes;0.041000

javacard.security.KeyBuilder
TYPE_DES_TRANSIENT_RESET;yes;0.067000
TYPE_DES_TRANSIENT_DESELECT;yes;0.073000
TYPE_DES LENGTH_DES;yes;0.073000
TYPE_DES LENGTH_DES3_2KEY;yes;0.074000
TYPE_DES LENGTH_DES3_3KEY;yes;0.074000
TYPE_AES_TRANSIENT_RESET;yes;0.069000
TYPE_AES_TRANSIENT_DESELECT;yes;0.069000
TYPE_AES LENGTH_AES_128;yes;0.073000
TYPE_AES LENGTH_AES_192;yes;0.074000
TYPE_AES LENGTH_AES_256;yes;0.074000
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0.072000
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0.071000
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0.072000
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0.073000
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0.073000
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0.072000
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0.074000
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0.075000
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0.074000
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0.072000
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0.072000
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0.073000
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0.072000
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0.073000
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0.072000
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0.074000
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0.074000
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0.074000
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0.072000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;0.072000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0.072000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0.074000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024;yes;0.073000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280;yes;0.073000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536;yes;0.074000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984;yes;0.075000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048;yes;0.075000
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET;no;
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PRIVATE LENGTH_DSA_512;yes;0.072000
TYPE_DSA_PRIVATE LENGTH_DSA_768;yes;0.072000
TYPE_DSA_PRIVATE LENGTH_DSA_1024;yes;0.073000
TYPE_DSA_PRIVATE_TRANSIENT_RESET;no;
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_DSA_PUBLIC LENGTH_DSA_512;yes;0.072000
TYPE_DSA_PUBLIC LENGTH_DSA_768;yes;0.073000
TYPE_DSA_PUBLIC LENGTH_DSA_1024;yes;0.074000
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163;no;
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384;no;
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521;no;
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET;no;
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED_TRANSIENT_RESET;no;
TYPE_KOREAN_SEED_TRANSIENT_DESELECT;no;
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128;no;
TYPE_HMAC_TRANSIENT_RESET;no;
TYPE_HMAC_TRANSIENT_DESELECT;no;
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64;no;
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64;no;

javacard\.security\.KeyAgreement
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF;no;

javacard.security.Checksum
ALG_ISO3309_CRC16;no;
ALG_ISO3309_CRC32;no;

javacard.security.KeyPair ALG_RSA on-card generation
ALG_RSA LENGTH_RSA_512;yes;1.758000
ALG_RSA LENGTH_RSA_736;yes;2.101000
ALG_RSA LENGTH_RSA_768;yes;2.128000
ALG_RSA LENGTH_RSA_896;yes;2.686000
ALG_RSA LENGTH_RSA_1024;yes;2.662000
ALG_RSA LENGTH_RSA_1280;yes;6.076000
ALG_RSA LENGTH_RSA_1536;yes;12.904000
ALG_RSA LENGTH_RSA_1984;yes;28.356000
ALG_RSA LENGTH_RSA_2048;yes;17.947000
ALG_RSA LENGTH_RSA_3072;no;
ALG_RSA LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_RSA_CRT on-card generation
ALG_RSA_CRT LENGTH_RSA_512;yes;1.609000
ALG_RSA_CRT LENGTH_RSA_736;yes;1.955000
ALG_RSA_CRT LENGTH_RSA_768;yes;3.006000
ALG_RSA_CRT LENGTH_RSA_896;yes;2.111000
ALG_RSA_CRT LENGTH_RSA_1024;yes;3.647000
ALG_RSA_CRT LENGTH_RSA_1280;yes;3.676000
ALG_RSA_CRT LENGTH_RSA_1536;yes;5.978000
ALG_RSA_CRT LENGTH_RSA_1984;yes;23.126000
ALG_RSA_CRT LENGTH_RSA_2048;yes;20.892000
ALG_RSA_CRT LENGTH_RSA_3072;no;
ALG_RSA_CRT LENGTH_RSA_4096;no;

javacard.security.KeyPair ALG_DSA on-card generation
ALG_DSA LENGTH_DSA_512;yes;0.296000
ALG_DSA LENGTH_DSA_768;yes;0.388000
ALG_DSA LENGTH_DSA_1024;yes;0.511000

javacard.security.KeyPair ALG_EC_F2M on-card generation
ALG_EC_F2M LENGTH_EC_F2M_113;no;
ALG_EC_F2M LENGTH_EC_F2M_131;no;
ALG_EC_F2M LENGTH_EC_F2M_163;no;
ALG_EC_F2M LENGTH_EC_F2M_193;no;

javacard.security.KeyPair ALG_EC_FP on-card generation
ALG_EC_FP LENGTH_EC_FP_112;no;
ALG_EC_FP LENGTH_EC_FP_128;no;
ALG_EC_FP LENGTH_EC_FP_160;no;
ALG_EC_FP LENGTH_EC_FP_192;no;
ALG_EC_FP LENGTH_EC_FP_224;no;
ALG_EC_FP LENGTH_EC_FP_256;no;
ALG_EC_FP LENGTH_EC_FP_384;no;
ALG_EC_FP LENGTH_EC_FP_521;no;

Support for variable public exponent for RSA 1024. If supported, user-defined fast modular exponentiation can be executed on the smart card via cryptographic coprocessor. This is very specific feature and you will probably not need it;
Allocate RSA 1024 objects;yes;0.078000 sec;
Set random modulus;yes;0.049000 sec;
Set random public exponent;yes;0.051000 sec;
Initialize cipher with public key with random exponent;yes;0.023000 sec;
Use random public exponent;yes;0.311000 sec;

Total test time:; 255 seconds.
