JavaCard support version; 2.2.1;
INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;;
Tested and provided by;Metro;
Execution date/time; 2016/03/01 14:00:14;
AlgTestJClient version; 1.6.0;
AlgTest applet version; error;
Used reader; PC/SC terminal Alcor Micro USB Smart Card Reader 0;
Card ATR; 3b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00;
Card name;[Undisclosed 6];
Used protocol; T=0;
;;
JCSystem.getVersion()[Major.Minor];3.0;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;9390B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;29440B;
JCSystem.getMaxCommitCapacity();29440B;
;;
javacardx.crypto.Cipher;;
ALG_DES_CBC_NOPAD;yes;0,117
ALG_DES_CBC_ISO9797_M1;yes;0,122
ALG_DES_CBC_ISO9797_M2;yes;0,14
ALG_DES_CBC_PKCS5;yes;0,132
ALG_DES_ECB_NOPAD;yes;0,145
ALG_DES_ECB_ISO9797_M1;yes;0,136
ALG_DES_ECB_ISO9797_M2;yes;0,135
ALG_DES_ECB_PKCS5;yes;0,124
ALG_RSA_ISO14888;yes;0,172
ALG_RSA_PKCS1;yes;0,169
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;0,161
ALG_AES_BLOCK_128_CBC_NOPAD;yes;0,121
ALG_AES_BLOCK_128_ECB_NOPAD;yes;0,132
ALG_RSA_PKCS1_OAEP;no;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;yes;0,122
ALG_AES_CBC_ISO9797_M2;yes;0,143
ALG_AES_CBC_PKCS5;yes;0,126
ALG_AES_ECB_ISO9797_M1;yes;0,13
ALG_AES_ECB_ISO9797_M2;yes;0,121
ALG_AES_ECB_PKCS5;yes;0,136
;;
javacard.crypto.Signature;;
ALG_DES_MAC4_NOPAD;yes;0,178
ALG_DES_MAC8_NOPAD;yes;0,177
ALG_DES_MAC4_ISO9797_M1;yes;0,203
ALG_DES_MAC8_ISO9797_M1;yes;0,187
ALG_DES_MAC4_ISO9797_M2;yes;0,194
ALG_DES_MAC8_ISO9797_M2;yes;0,175
ALG_DES_MAC4_PKCS5;yes;0,192
ALG_DES_MAC8_PKCS5;yes;0,183
ALG_RSA_SHA_ISO9796;yes;0,28
ALG_RSA_SHA_PKCS1;yes;0,278
ALG_RSA_MD5_PKCS1;yes;0,289
ALG_RSA_RIPEMD160_ISO9796;no;
ALG_RSA_RIPEMD160_PKCS1;no;
ALG_DSA_SHA;no;
ALG_RSA_SHA_RFC2409;yes;0,268
ALG_RSA_MD5_RFC2409;yes;0,289
ALG_ECDSA_SHA;no;
ALG_AES_MAC_128_NOPAD;yes;0,187
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;0,195
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;0,186
ALG_RSA_SHA_PKCS1_PSS;yes;0,287
ALG_RSA_MD5_PKCS1_PSS;yes;0,288
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;yes;0,311
ALG_HMAC_SHA_256;yes;0,323
ALG_HMAC_SHA_384;yes;0,329
ALG_HMAC_SHA_512;yes;0,318
ALG_HMAC_MD5;yes;0,309
ALG_HMAC_RIPEMD160;no;
ALG_RSA_SHA_ISO9796_MR;no;
ALG_RSA_RIPEMD160_ISO9796_MR;no;
ALG_SEED_MAC_NOPAD;no;
ALG_ECDSA_SHA_256;yes;0,255
ALG_ECDSA_SHA_384;yes;0,26
ALG_AES_MAC_192_NOPAD;no;
ALG_AES_MAC_256_NOPAD;no;
ALG_ECDSA_SHA_224;yes;0,256
ALG_ECDSA_SHA_512;yes;0,254
ALG_RSA_SHA_224_PKCS1;yes;0,3
ALG_RSA_SHA_256_PKCS1;yes;0,289
ALG_RSA_SHA_384_PKCS1;yes;0,283
ALG_RSA_SHA_512_PKCS1;yes;0,277
ALG_RSA_SHA_224_PKCS1_PSS;yes;0,29
ALG_RSA_SHA_256_PKCS1_PSS;yes;0,293
ALG_RSA_SHA_384_PKCS1_PSS;yes;0,282
ALG_RSA_SHA_512_PKCS1_PSS;yes;0,293
ALG_DES_MAC4_ISO9797_1_M1_ALG3;no;
ALG_DES_MAC8_ISO9797_1_M1_ALG3;no;
;;
javacard.security.MessageDigest;;
ALG_SHA;yes;0,139
ALG_MD5;yes;0,131
ALG_RIPEMD160;no;
ALG_SHA_256;yes;0,145
ALG_SHA_384;yes;0,138
ALG_SHA_512;yes;0,163
ALG_SHA_224;yes;0,137
;;
javacard.security.RandomData;;
ALG_PSEUDO_RANDOM;yes;0,069
ALG_SECURE_RANDOM;yes;0,067
;;
javacard.security.KeyBuilder;;
TYPE_DES_TRANSIENT_RESET;yes;0,125
TYPE_DES_TRANSIENT_DESELECT;yes;0,123
TYPE_DES LENGTH_DES;yes;0,128
TYPE_DES LENGTH_DES3_2KEY;yes;0,103
TYPE_DES LENGTH_DES3_3KEY;yes;0,117
TYPE_AES_TRANSIENT_RESET;yes;0,118
TYPE_AES_TRANSIENT_DESELECT;yes;0,137
TYPE_AES LENGTH_AES_128;yes;0,104
TYPE_AES LENGTH_AES_192;yes;0,123
TYPE_AES LENGTH_AES_256;yes;0,111
TYPE_RSA_PUBLIC LENGTH_RSA_512;yes;0,157
TYPE_RSA_PUBLIC LENGTH_RSA_736;yes;0,145
TYPE_RSA_PUBLIC LENGTH_RSA_768;yes;0,147
TYPE_RSA_PUBLIC LENGTH_RSA_896;yes;0,135
TYPE_RSA_PUBLIC LENGTH_RSA_1024;yes;0,153
TYPE_RSA_PUBLIC LENGTH_RSA_1280;yes;0,142
TYPE_RSA_PUBLIC LENGTH_RSA_1536;yes;0,15
TYPE_RSA_PUBLIC LENGTH_RSA_1984;yes;0,149
TYPE_RSA_PUBLIC LENGTH_RSA_2048;yes;0,156
TYPE_RSA_PUBLIC LENGTH_RSA_3072;no;
TYPE_RSA_PUBLIC LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE LENGTH_RSA_512;yes;0,148
TYPE_RSA_PRIVATE LENGTH_RSA_736;yes;0,156
TYPE_RSA_PRIVATE LENGTH_RSA_768;yes;0,133
TYPE_RSA_PRIVATE LENGTH_RSA_896;yes;0,148
TYPE_RSA_PRIVATE LENGTH_RSA_1024;yes;0,139
TYPE_RSA_PRIVATE LENGTH_RSA_1280;yes;0,162
TYPE_RSA_PRIVATE LENGTH_RSA_1536;yes;0,162
TYPE_RSA_PRIVATE LENGTH_RSA_1984;yes;0,171
TYPE_RSA_PRIVATE LENGTH_RSA_2048;yes;0,15
TYPE_RSA_PRIVATE LENGTH_RSA_3072;no;
TYPE_RSA_PRIVATE LENGTH_RSA_4096;no;
TYPE_RSA_PRIVATE_TRANSIENT_RESET;yes;0,163
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT;yes;0,156
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512;yes;0,188
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736;yes;0,172
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768;yes;0,179
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896;yes;0,182
