INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.;
Tested and provided by; insert your name please.;
Execution date/time; 2014/01/21 13:26:23
AlgTestJClient version; 1.2
AlgTest applet version; 1.2
Used reader; 
Card ATR; 3B F7 18 00 00 80 31 FE 45 73 66 74 65 2D 6E 66 C4
Used protocol; T=1

JCSystem.getVersion()[Major.Minor];2.2;
JCSystem.isObjectDeletionSupported;yes;
JCSystem.MEMORY_TYPE_PERSISTENT;>32767B;
JCSystem.MEMORY_TYPE_TRANSIENT_RESET;2040B;
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT;2335B;


javacardx.crypto.Cipher;
ALG_DES_CBC_NOPAD;yes;
ALG_DES_CBC_ISO9797_M1;yes;
ALG_DES_CBC_ISO9797_M2;yes;
ALG_DES_CBC_PKCS5;yes;
ALG_DES_ECB_NOPAD;yes;
ALG_DES_ECB_ISO9797_M1;yes;
ALG_DES_ECB_ISO9797_M2;yes;
ALG_DES_ECB_PKCS5;yes;
ALG_RSA_ISO14888;yes;
ALG_RSA_PKCS1;yes;
ALG_RSA_ISO9796;no;
ALG_RSA_NOPAD;yes;
ALG_AES_BLOCK_128_CBC_NOPAD;yes;
ALG_AES_BLOCK_128_ECB_NOPAD;yes;
ALG_RSA_PKCS1_OAEP;yes;
ALG_KOREAN_SEED_ECB_NOPAD;no;
ALG_KOREAN_SEED_CBC_NOPAD;no;
ALG_AES_BLOCK_192_CBC_NOPAD;no;
ALG_AES_BLOCK_192_ECB_NOPAD;no;
ALG_AES_BLOCK_256_CBC_NOPAD;no;
ALG_AES_BLOCK_256_ECB_NOPAD;no;
ALG_AES_CBC_ISO9797_M1;no;
ALG_AES_CBC_ISO9797_M2;no;
ALG_AES_CBC_PKCS5;no;
ALG_AES_ECB_ISO9797_M1;no;
ALG_AES_ECB_ISO9797_M2;no;
ALG_AES_ECB_PKCS5;no;

javacard.crypto.Signature;
ALG_DES_MAC4_NOPAD;yes;
ALG_DES_MAC8_NOPAD;yes;
ALG_DES_MAC4_ISO9797_M1;yes;
ALG_DES_MAC8_ISO9797_M1;yes;
ALG_DES_MAC4_ISO9797_M2;yes;
ALG_DES_MAC8_ISO9797_M2;yes;
ALG_DES_MAC4_PKCS5;yes;
ALG_DES_MAC8_PKCS5;yes;
ALG_RSA_SHA_ISO9796;yes;
ALG_RSA_SHA_PKCS1;yes;
ALG_RSA_MD5_PKCS1;yes;
ALG_RSA_RIPEMD160_ISO9796;yes;
ALG_RSA_RIPEMD160_PKCS1;yes;
ALG_DSA_SHA;yes;
ALG_RSA_SHA_RFC2409;yes;
ALG_RSA_MD5_RFC2409;yes;
ALG_ECDSA_SHA;no;
ALG_AES_MAC_128_NOPAD;yes;
ALG_DES_MAC4_ISO9797_1_M2_ALG3;yes;
ALG_DES_MAC8_ISO9797_1_M2_ALG3;yes;
ALG_RSA_SHA_PKCS1_PSS;no;
ALG_RSA_MD5_PKCS1_PSS;no;
ALG_RSA_RIPEMD160_PKCS1_PSS;no;
ALG_HMAC_SHA1;no;
ALG_HMAC_SHA_256;no;
ALG_HMAC_SHA_384;no;
